,Basin,Operator,State,County,report_date,drill_type,well,rig,well_type,field,formation,permit_depth,spud_date,API_UWI,lat_long,rated_hp,permit_approval_date,state_id,county_id,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1
10,Permian - Midland,"FASKEN OIL AND RANCH, LTD.",TX,ANDREWS,01/12/2022,V,FEE 'CA' SWD 1,Sendero 16,INJECTION,MAGUTEX,DEVONIAN,"16,000 ft",2021-12-21,42-003-48479,31.8247939 / -102.3951044,1000,2021-11-08,42,3,,,,,
11,Permian - Midland,"FASKEN OIL AND RANCH, LTD.",TX,ANDREWS,01/12/2022,H,FEE 'BM' 1612WC,H&P 659,OIL & GAS,SPRABERRY,TREND AREA,"10,500 ft",2022-01-04,42-003-48451,32.1542897 / -102.2526288,1500,2021-08-13,42,3,,,,,
12,Permian - Midland,"PIEDRA OPERATING, LLC",TX,ANDREWS,01/12/2022,H,UNIVERSITY 8-9 N 8WC,Burton 10,OIL & GAS,SPRABERRY,TREND AREA,"10,200 ft",2022-01-06,42-003-48486,32.3944987 / -102.3444042, ,2021-11-30,42,3,,,,,
13,Permian - Midland,"PIEDRA OPERATING, LLC",TX,ANDREWS,01/12/2022,H,UNIVERSITY 8-4C S H 3MS,Ensign T54,OIL & GAS,SPRABERRY,TREND AREA,"10,800 ft",2022-01-06,42-003-48462,32.4012854 / -102.3387794,1500,2021-09-23,42,3,,,,,
14,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,ANDREWS,01/12/2022,H,UNIVERSITY 7-43 4H,H&P 601,OIL & GAS,SPRABERRY,TREND AREA,"10,994 ft",2022-01-04,42-003-48356,32.3509115 / -102.2582237,1500,2021-03-09,42,3,,,,,
15,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,ANDREWS,01/12/2022,H,UNIVERSITY 7-43 7H,H&P 645,OIL & GAS,SPRABERRY,TREND AREA,"11,095 ft",2022-01-06,42-003-48472,32.3523138 / -102.2593742,1500,2021-09-23,42,3,,,,,
16,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,01/12/2022,H,GASOSAURUS GAS UNIT 3HB,Scan Legacy,GAS,CARTHAGE,HAYNESVILLE SHALE,"16,500 ft",2021-11-25,42-005-30467,31.3863017 / -94.6273022,2000,2021-10-21,42,5,,,,,
17,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,01/12/2022,H,DENALI GAS UNIT 2HB,Precision 584,GAS,CARTHAGE,HAYNESVILLE SHALE,"16,500 ft",2021-10-26,42-005-30461,31.2862052 / -94.5010643,1500,2021-02-22,42,5,,,,,
18,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,01/12/2022,H,TITAN GAS UNIT 3HB,AKITA 90,GAS,CARTHAGE,HAYNESVILLE SHALE,"16,200 ft",2021-12-25,42-005-30465,31.8237954 / -102.3953963,3000,2021-10-18,42,5,,,,,
19,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,01/12/2022,H,RAINIER GAS UNIT 4H,Precision 579,GAS,CARTHAGE,HAYNESVILLE SHALE,"17,200 ft",2021-12-15,42-005-30463,31.3146953 / -94.5570527,1500,2021-04-21,42,5,,,,,
20,Northeast,SNYDER BROS INC,PA,ARMSTRONG,01/12/2022,H,MUDLICK 2H,Precision 539,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"14,995 ft",2022-01-08,37-005-31401,40.9531531 / -79.292708,1200,2021-08-30,37,5,,,,,
21,Eagleford,MARATHON OIL EF LLC,TX,ATASCOSA,01/12/2022,H,GUAJILLO UNIT 15 SOUTH 1H,Nabors X39,OIL,EAGLEVILLE,EAGLE FORD-2,"22,000 ft",2022-01-03,42-013-35768,28.6719548 / -98.3109472,1500,2021-11-23,42,13,,,,,
22,Austin Chalk,VERDUN OIL & GAS LLC,TX,AUSTIN,01/12/2022,H,GALLIPOLI 1H,Nabors 1204,GAS,GIDDINGS,"AUSTIN CHALK, GAS","15,000 ft",2021-12-21,42-015-31074,30.0262945 / -96.589053, ,2021-10-13,42,15,,,,,
23,Sedgwick,"DARRAH OIL COMPANY, LLC",KS,BARTON,01/12/2022,V,KELLER 25 C #1,Murfin 20,OIL,PRITCHARD,ARBUCKLE,"3,600 ft",2022-01-05,15-009-26324,38.2800135 / -98.8264965,550,2021-11-23,15,9,,,,,
24,Sedgwick,RJM COMPANY,KS,BARTON,01/12/2022,V,AMES UNIT 16,Southwind 1,OIL,AMES,ARBUCKLE,"3,400 ft",2022-01-11,15-009-26331,38.4504126 / -98.5144349,400,2022-01-04,15,9,,,,,
25,Gulf Coast,DUNN EXPLORATION COMPANY,LA,BEAUREGARD,01/12/2022,V,CF-WX RA SUB;BP AMERICA 003,D&D 11,OIL,BRUSHY CREEK,CF-WX,"9,999 ft",2021-12-22,17-011-21284,30.5981607 / -93.631558,1000,2021-11-30,17,11,,,,,
26,Gulf Coast,"LAFAYETTE OILFIELD CONTRACTORS, INC.",LA,BEAUREGARD,01/12/2022,D,HUNT 001,Guichard 5,OIL,COWARDS GULLY,FRIO,"4,900 ft",2022-01-06,17-011-21285,30.4910252 / -93.5298533,750,2021-12-02,17,11,,,,,
27,Northeast,PENNENERGY RESOURCES LLC,PA,BEAVER,01/12/2022,H,PER B46 6H,Patterson 577,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"15,464 ft",2022-01-08,37-007-20639,40.6345808 / -80.2033192,1200,2021-09-03,37,7,,,,,
28,Northeast,"GULFPORT APPALACHIA, LLC",OH,BELMONT,01/12/2022,,CHARLOTTE 210115 2B,Patterson 296,UNKNOWN, , , ,2022-01-11,34-013-21501,39.9339943 / -80.9229202,1500, ,34,13,,,,,
29,Haynesville,AETHON ENERGY OPERATING L,LA,BIENVILLE,01/12/2022,H,HA RA SUT;J SALTER 19-18 HC 001-ALT,Precision 609,GAS,WOODARDVILLE,HAYNESVILLE,"18,476 ft",2021-11-06,17-013-22251,32.2809 / -93.3326829,1500,2021-09-28,17,13,,,,,
30,Haynesville,AETHON ENERGY OPERATING L,LA,BIENVILLE,01/12/2022,H,HA RA SUJJ;WEYERHAEUSER22-27HC 001-ALT,Precision 559,GAS,LAKE BISTINEAU,HAYNESVILLE,"21,526 ft",2022-01-03,17-013-22256,32.3687589 / -93.2744193,1800,2021-12-02,17,13,,,,,
31,Haynesville,AETHON ENERGY OPERATING L,LA,BIENVILLE,01/12/2022,H,HA RA SUFF;GEP 13-24-25 HC 001-ALT,Precision 556,GAS,WOODARDVILLE,HAYNESVILLE SHALE,"22,990 ft",2021-12-15,17-013-22243,32.2954528 / -93.3443027,1800,2021-08-11,17,13,,,,,
32,Haynesville,AETHON ENERGY OPERATING L,LA,BIENVILLE,01/12/2022,H,HA RA SU76;LEE 24-13 HC 001-ALT,Precision 614,GAS,WOODARDVILLE,HAYNESVILLE,"22,800 ft",2022-01-05,17-013-22248,32.2635968 / -93.3496893,1500,2021-09-10,17,13,,,,,
33,Anadarko,CONTINENTAL RESOURCES INC,OK,BLAINE,01/12/2022,H,NUZUM 2-1-12XHM,Patterson 293,OIL & GAS, ,MISS'AN LM,"21,999 ft",2021-12-20,35-011-24284,35.7244575 / -98.4234205,1500,2021-11-10,35,11,,,,,
34,Anadarko,DEVON ENERGY PRODUCTION CO LP,OK,BLAINE,01/12/2022,H,LAKE 26_35-15N-10W 2HX,Cyclone 43,OIL & GAS, ,"MISSISSIPPI SOLID, WOODFORD","21,297 ft",2022-01-09,35-011-24288,35.7549426 / -98.2345815,1500,2021-11-15,35,11,,,,,
35,Anadarko,STAGHORN PETROLEUM II LLC,OK,BLAINE,01/12/2022,H,YOSEMITE 18-13-32 1H,Kenai 44,OIL & GAS, ,MISSISSIPPIAN,"16,600 ft",2021-12-13,35-011-24283,35.986259 / -98.6093551,1000,2021-11-09,35,11,,,,,
36,Haynesville,AETHON ENERGY OPERATING L,LA,BOSSIER,01/12/2022,H,HA RA SU85;CLAY 21-16 HC 002-ALT,Precision 576,GAS,SLIGO,HAYNESVILLE,"21,156 ft",2021-12-21,17-015-25230,32.4400745 / -93.5046256,1500,2021-09-10,17,15,,,,,
37,Haynesville,AETHON ENERGY OPERATING L,LA,BOSSIER,01/12/2022,H,HA RA SU85;CLAY 21-16 HC 005-ALT,Precision 565,GAS,SLIGO,HAYNESVILLE,"21,166 ft",2022-01-03,17-015-25233,32.4390113 / -93.4971712,1500,2021-09-10,17,15,,,,,
38,Haynesville,BPX OPERATING COMPANY,LA,BOSSIER,01/12/2022,H,HA RA SU54;TAYLOR 26-23 HC 002-ALT,Patterson 570,GAS,ELM GROVE,HA,"19,056 ft",2021-12-31,17-015-25242,32.3429865 / -93.4719299,1200,2021-11-16,17,15,,,,,
39,Haynesville,"EMPRESA OPERATING, LLC",LA,BOSSIER,01/12/2022,H,CV RA SUE;BEAUREGARD 24-14 HC 001,Big E 2,GAS,BENTON,COTTON VALLEY,"18,000 ft",2021-12-23,17-015-25235,32.7114809 / -93.6655283,1500,2021-09-17,17,15,,,,,
40,Haynesville,"R360 ENVIRONMENTAL SOLUTIONS OF LA, LLC",LA,BOSSIER,01/12/2022,V,US LIQUIDS BOSSIER SWD 006,Energy 15,UNKNOWN,ELM GROVE, , ,2021-11-28,17-015-88164,32.349002 / -93.495841,1000,2021-06-07,17,15,,,,,
41,Northeast,CHESAPEAKE APPALACHIA LLC,PA,BRADFORD,01/12/2022,H,BRINK 1H,Nabors X25,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"13,633 ft",2022-01-08,37-015-23697,41.7528045 / -76.2514461,1500,2021-09-09,37,15,,,,,
42,Northeast,CHESAPEAKE APPALACHIA LLC,PA,BRADFORD,01/12/2022,H,SOLOWIEJ 1HC,Patterson 583,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"15,480 ft",2021-12-29,37-015-23689,41.7124661 / -76.2992945,1500,2021-06-01,37,15,,,,,
43,Eagleford,APACHE CORPORATION,TX,BRAZOS,01/12/2022,H,RUST UNIT B 2H,Patterson 246,OIL,GIDDINGS,AUSTIN CHALK-3,"12,000 ft",2021-12-21,42-041-32626,30.6480146 / -96.2045841,1500,2021-09-22,42,41,,,,,
44,DJ Basin,EXTRACTION OIL & GAS INC,CO,BROOMFIELD,01/12/2022,H,INTERCHANGE A S16-20-20N,Ensign 769,OIL,WATTENBERG,NIOBRARA,"18,605 ft",2022-01-07,05-014-20849,39.980906 / -104.993878,1500,2019-10-23,5,14,,,,,
45,Eagleford,"HAWKWOOD ENERGY OPERATING, LLC",TX,BURLESON,01/12/2022,H,VICUNA 1H,Patterson 238,OIL & GAS,AGUILA VADO,EAGLEFORD,"9,000 ft",2021-12-31,42-051-34357,30.5055011 / -96.6271462,1500,2021-09-23,42,51,,,,,
46,Haynesville,"BLUE DOME OPERATING, LLC",LA,CADDO,01/12/2022,H,MT CO ETAL 27-22 H 003,Cactus 159,UNKNOWN,GREENWOOD-WASKOM, ,"22,500 ft",2022-01-10,17-017-36534,32.3399521 / -93.9931335,1500,2021-12-21,17,17,,,,,
47,Haynesville,BPX OPERATING COMPANY,LA,CADDO,01/12/2022,H,HA RA SU58;C R WOODS 4-33-28HC 001-ALT,H&P 430,GAS,GREENWOOD-WASKOM,HA, ,2021-12-20,17-017-36493,32.4873728 / -94.0029445,1500,2021-09-16,17,17,,,,,
48,Haynesville,"CHESAPEAKE OPERATING, L.L.C",LA,CADDO,01/12/2022,H,HA RA SUBB;WOO17&20&29-16-15HC 001-ALT,Patterson 587,GAS,JOHNSON BRANCH,HAYNESVILLE,"24,403 ft",2022-01-10,17-017-36496,32.3842351 / -93.9191436,1500,2021-10-22,17,17,,,,,
49,Haynesville,"CHESAPEAKE OPERATING, L.L.C",LA,CADDO,01/12/2022,H,HA RA SUM;AT&N 12&1-15-16 HC 001-ALT,Nabors B14,GAS,JOHNSON BRANCH,HAYNESVILLE,"23,276 ft",2022-01-09,17-017-36504,32.434561 / -94.849484,1500,2021-10-28,17,17,,,,,
50,Anadarko,R L & B ENERGY LLC,OK,CADDO,01/12/2022,V,THREE SISTERS 1-3,Dan D 20,OIL & GAS, ,"FORTUNA, MARCHAND, NILES, NOBLE-OLSON, OOLITIC MAIN, OOLITIC UP, ROWE LOW, ROWE UP, WADE, YULE","7,000 ft",2021-12-31,35-015-23322,34.9373667 / -98.1314823,750,2021-11-12,35,15,,,,,
51,Haynesville,"TRINITY OPERATING (USG), LLC",LA,CADDO,01/12/2022,H,HA RA SUQQ;ALPHA 5-32 H 001,Precision 616,GAS,LONGWOOD,HAYNESVILLE,"21,600 ft",2022-01-08,17-017-36519,32.5714696 / -93.8257527, ,2021-12-02,17,17,,,,,
52,Haynesville,"TRINITY OPERATING (USG), LLC",LA,CADDO,01/12/2022,H,BLOUNT 15-22 H 003,Cactus 150,GAS,GREENWOOD-WASKOM,HAYNESVILLE,"21,600 ft",2021-12-14,17-017-36518,32.5568358 / -93.8794718,1500,2021-11-30,17,17,,,,,
53,Haynesville,"TRINITY OPERATING (USG), LLC",LA,CADDO,01/12/2022,H,HA RA SU134;BELLEVUE 11-14 H 002-ALT,Cactus 158,GAS,GREENWOOD-WASKOM,HAYNESVILLE,"21,650 ft",2022-01-08,17-017-36489,32.5779073 / -93.8795486,1500,2021-09-08,17,17,,,,,
54,Gulf Coast,"ROBERTSON ENERGY, LLC",LA,CALCASIEU,01/12/2022,D,MARCANTEL 001,Precision 840,GAS,IOWA,FY,"11,386 ft",2021-12-12,17-019-22398,30.2951621 / -93.0467497,1400,2021-12-03,17,19,,,,,
55,Gulf Coast,"KEBO OIL & GAS, INC.",TX,CALHOUN,01/12/2022,V,DOUBLE DOWN 1,Price 4,OIL & GAS,"LONG MOTT, EAST", ,"7,500 ft",2022-01-04,42-057-31824,28.5348281 / -96.701214,600,2021-12-10,42,57,,,,,
56,Northeast,SENECA RESOURCES CORP,PA,CAMERON,01/12/2022,H,LEH WT 2340 231HU 52918,Falcon 27,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"21,074 ft",2021-12-21,37-023-20288,41.5717296 / -78.3984278,850,2021-10-08,37,23,,,,,
57,Powder River,EOG RESOURCES INC,WY,CAMPBELL,01/12/2022,H,NILE 3427-45H,Unit 406,OIL,WC,NIOBRARA,"20,808 ft",2022-01-11,49-005-64546,43.5611236 / -105.4927611,1500,2021-06-17,49,5,,,,,
58,Powder River,EOG RESOURCES INC,WY,CAMPBELL,01/12/2022,H,IDLEWILD 3625-08H,Unit 403,OIL,WC,MOWRY,"22,395 ft",2022-01-01,49-005-77712,43.5645711 / -105.5758939,1500,2021-12-02,49,5,,,,,
59,Powder River,PEAK POWDER RIVER RESOURCES LLC,WY,CAMPBELL,01/12/2022,H,IBERLIN FED 1-31-30NH,Patterson 272,OIL,WC,NIOBRARA,"21,426 ft",2022-01-03,49-005-65593,43.6499611 / -105.7943527,1500,2021-07-06,49,5,,,,,
60,Anadarko,CAMINO NATURAL RESOURCES LLC,OK,CANADIAN,01/12/2022,H,HUNT 1207 27-22-3WXH,Cactus 160,OIL & GAS, ,"MISSISSIPPIAN, WOODFORD","20,460 ft",2021-12-29,35-017-25715,35.4781188 / -97.9273614,1500,2021-10-06,35,17,,,,,
61,Anadarko,CAMINO NATURAL RESOURCES LLC,OK,CANADIAN,01/12/2022,H,TOBY KEITH 1108 7-18-1MXH,Cactus 145,OIL & GAS, ,"MISSISSIPPIAN, WOODFORD","22,765 ft",2021-12-30,35-017-25718,35.4508037 / -98.0946063,1500,2021-10-15,35,17,,,,,
62,Anadarko,CHAPARRAL ENERGY LLC,OK,CANADIAN,01/12/2022,H,MARBLE 1307 2LMH-34,Power Rig 6,OIL & GAS, ,MISSISSIPPIAN,"14,400 ft",2022-01-08,35-017-25707,35.5506726 / -97.9329821,1200,2021-09-24,35,17,,,,,
63,Anadarko,CITIZEN ENERGY III LLC,OK,CANADIAN,01/12/2022,H,RIVER VIEW 2H-5-32,Unit 327,OIL & GAS, ,MISSISSIPPIAN,"24,000 ft",2021-12-15,35-017-25730,35.5370281 / -98.2861569,1500,2021-11-16,35,17,,,,,
64,Anadarko,CITIZEN ENERGY III LLC,OK,CANADIAN,01/12/2022,H,DARROW TRUST 3H-7-18,Atlas 6,OIL & GAS, ,MISSISSIPPIAN,"16,675 ft",2022-01-08,35-017-25617,35.3549 / -97.769819,1600,2021-12-14,35,17,,,,,
65,Anadarko,DEVON ENERGY PRODUCTION CO LP,OK,CANADIAN,01/12/2022,H,SEEMS 11_2-13N-9W 2HX,Patterson 290,OIL & GAS, ,"MISSISSIPPIAN, MISSISSIPPIAN (LESS CHESTER)","21,440 ft",2022-01-06,35-017-25736,35.6105187 / -98.1221139,1500,2021-12-08,35,17,,,,,
66,Anadarko,DEVON ENERGY PRODUCTION CO LP,OK,CANADIAN,01/12/2022,H,MULLEN 32-15N-9W 6H,Cyclone 40,OIL & GAS, ,WOODFORD,"16,289 ft",2022-01-01,35-017-25722,35.7244293 / -98.1801625,1500,2021-10-20,35,17,,,,,
67,Anadarko,RED BLUFF RESOURCES OPERATING LLC,OK,CANADIAN,01/12/2022,H,JOANN BENNETT 1405 6-7MH,Power Rig 5,OIL & GAS, ,MISSISSIPPIAN (LESS CHESTER), ,2021-12-31,35-017-25733,35.6985349 / -97.7608946,1200,2021-11-24,35,17,,,,,
68,Anadarko,TRAVIS PEAK RESOURCES LLC,OK,CANADIAN,01/12/2022,H,GEORGE FOLK 5-8-11N-6W 3MHX,H&P 493,OIL & GAS, ,MISSISSIPPI,"21,000 ft",2022-01-04,35-017-25710,35.4635774 / -97.8569727,1500,2021-09-28,35,17,,,,,
69,Northeast,EAP OHIO LLC,OH,CARROLL,01/12/2022,H,WINDY RIDGE PLATFORM CR ORG 210H,Patterson 580,OIL & GAS, ,POINT PLEASANT,"24,050 ft",2022-01-09,34-019-22778,40.4459843 / -81.2449662,1500,2021-06-04,34,19,,,,,
70,Northeast,"EAP OHIO, LLC",OH,CARROLL,01/12/2022,,BAUER 14-14-6 205H,Patterson 571,UNKNOWN, , , ,2022-01-07,34-019-22793,40.4949799 / -81.1401062,1200, ,34,19,,,,,
71,Anadarko,KODIAK OIL & GAS INC,OK,CARTER,01/12/2022,V,HHU 631,HWH 2,OIL & GAS, ,HOXBAR,"2,400 ft",2022-01-03,35-019-26464,34.1858425 / -97.3986296, ,2021-11-15,35,19,,,,,
72,Haynesville,"ROSE CITY RESOURCES, LLC",TX,CASS,01/12/2022,V,WALKER 1,Steinberger 4,OIL,HIDDEN ROCK,COTTON VALLEY LIME,"11,000 ft",2022-01-05,42-067-30849,32.9464304 / -94.2973005,1000,2021-12-17,42,67,,,,,
73,Northeast,DIMES ENERGY GP INC.,NY,CATTARAUGUS,01/12/2022,V,DH15 DH15,DALLAS-MORRIS 27,UNKNOWN,BRADFORD,BRADFORD SECOND,"1,950 ft",2022-01-03,31-009-30149,42.0483087 / -78.5333608, ,2021-10-25,31,9,,,,,
74,Permian - Delaware,"TAMAROA OPERATING, LLC",NM,CHAVES,01/12/2022,D,HERITAGE PARK 001,S&M 12,OIL,WC,DEVONIAN,"8,382 ft",2021-12-20,30-005-64357,33.5116121 / -104.0159359, ,2021-02-19,30,5,,,,,
75,DJ Basin,"MURFIN DRILLING CO., INC.",KS,CHEYENNE,01/12/2022,V,JEAN 'A' 2-7,Murfin 110,OIL,UNNAMED,LANSING,"4,800 ft",2021-12-30,15-023-21563,39.9755909 / -101.5123596,550,2021-12-06,15,23,,,,,
76,Northeast,LAUREL MOUNTAIN PRODUCTION,PA,CLARION,01/12/2022,H,WINDY OAKLAND 11H,Pioneer 71,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"14,046 ft",2021-12-30,37-031-25700,41.1249134 / -79.6478648,1500,2021-11-15,37,31,,,,,
77,Barnett,"MUIRFIELD EXPLORATION, LTD.",TX,CLAY,01/12/2022,V,KEETON 1,Duncan & Grace 4,OIL & GAS,"CLAY COUNTY REGULAR,WILDCAT", ,"4,500 ft",2021-10-23,42-077-35316,34.0099768 / -98.186002, ,2021-10-14,42,77,,,,,
78,Gulf Coast,"STRAND ENERGY, L.C.",TX,COLORADO,01/12/2022,V,MAREK 1,LAUSON 3,OIL & GAS,COLUMBUS,CONSOLIDATED,"11,000 ft",2021-12-30,42-089-32764,29.7860905 / -96.5371429, ,2021-11-04,42,89,,,,,
79,Northeast,"EAP OHIO, LLC",OH,COLUMBIANA,01/12/2022,,SEVEK 18-12-3 3H,Patterson 579,UNKNOWN, , , ,2022-01-07,34-029-21936,40.6285591 / -80.7889099,1200, ,34,29,,,,,
80,Northeast,HILCORP ENERGY COMPANY,OH,COLUMBIANA,01/12/2022,H,FAIRFIELD-TARKA 2H,Precision 548,OIL & GAS, ,POINT PLEASANT FORMATION, ,2022-01-07,34-029-21924,40.8323883 / -80.6783866,1200,2021-08-31,34,29,,,,,
81,Tuscaloosa,FLETCHER PETROLEUM CORP.,AL,CONECUH,01/12/2022,H,MCMILLAN 34-7 #1,WT Drilling 18,UNKNOWN,WILDCAT,SMACKOVER, ,2021-12-15,01-035-20371,31.2689415 / -87.1466577,1000,2021-10-01,1,35,,,,,
82,Powder River,ANADARKO E & P ONSHORE LLC,WY,CONVERSE,01/12/2022,,ELLA FED 3570-16-T2H,Precision 564,UNKNOWN, , , ,2022-01-10,49-009-34634,42.9838257 / -105.2694473,1500, ,49,9,,,,,
83,Powder River,ANSCHUTZ OIL COMPANY LLC,WY,CONVERSE,01/12/2022,H,CAPTAIN FED 3671-20-32-14W NH,Cyclone 39,OIL,SCOTT,NIOBRARA,"22,139 ft",2022-01-07,49-009-31452,43.0734922 / -105.4109377,1500,2021-07-27,49,9,,,,,
84,Powder River,ANSCHUTZ OIL COMPANY LLC,WY,CONVERSE,01/12/2022,H,DOLLY FED 3671-19-31-14W NH,Cyclone 36,OIL,SCOTT,NIOBRARA,"22,156 ft",2022-01-08,49-009-31444,43.0726563 / -105.4304748,1500,2021-04-19,49,9,,,,,
85,Powder River,ANSCHUTZ OIL COMPANY LLC,WY,CONVERSE,01/12/2022,H,REBA FED 3671-30-31-15W NH,Cyclone 33,OIL,SCOTT,NIOBRARA,"22,226 ft",2022-01-03,49-009-34194,43.0707239 / -105.4235213,1500,2021-07-27,49,9,,,,,
86,Powder River,"CONTINENTAL RESROUCES, INC.",WY,CONVERSE,01/12/2022,,SPILLMAN DRAW UNIT 36-73 34-1NH,H&P 385,UNKNOWN, , , ,2021-12-26,49-009-48722,43.0449028 / -105.6003113,1500, ,49,9,,,,,
87,Powder River,DEVON ENERGY PRODUCTION COMPANY LP,WY,CONVERSE,01/12/2022,H,CWDU JRJ FED 07-063870-3XNH,Cyclone 42,OIL,WC,NIOBRARA,"19,109 ft",2021-12-26,49-009-48718,43.2792265 / -105.3162154, ,2021-08-30,49,9,,,,,
88,Sedgwick,"RANEY OIL COMPANY, LLC",KS,COWLEY,01/12/2022,V,MBF 1,C&G 2,OIL,COMBS,MISSISSIPPI,"3,400 ft",2022-01-04,15-035-24749,37.4666728 / -96.9026168,450,2021-10-28,15,35,,,,,
89,Permian - Midland,"BLACKBEARD OPERATING, LLC",TX,CRANE,01/12/2022,V,WADDELL TR A 3009,Savanna 415,OIL & GAS,SAND HILLS,"CLEAR FORK, TUBB, WOLFCAMP","9,000 ft",2022-01-02,42-103-36786,31.5213465 / -102.7109377,650,2021-04-01,42,103,,,,,
90,Permian - Midland,"BLACKBEARD OPERATING, LLC",TX,CRANE,01/12/2022,V,WADDELL TR A 3127,Savanna 417,OIL & GAS,SAND HILLS,"CLEAR FORK, SAN ANGELO, UPPER, TUBB, WOLFCAMP","9,000 ft",2022-01-05,42-103-36942,31.5114027 / -102.6525586,650,2021-12-15,42,103,,,,,
91,Permian - Midland,"STRONGHOLD ENERGY II OPER, LLC",TX,CRANE,01/12/2022,V,"MCKNIGHT, M.B. 0308G",Savanna 642,OIL & GAS,"ARMER,RUNNING W, N.,SAND HILLS","CLEAR FORK, HOLT, TUBB, WOLFCAMP","7,500 ft",2022-01-06,42-103-36723,31.5465708 / -102.6964584,750,2020-02-27,42,103,,,,,
92,Permian - Midland,SEM OPERATING COMPANY LLC,TX,CROCKETT,01/12/2022,H,UNIVERSITY 40 2121WC,Precision 594,OIL & GAS,LIN,WOLFCAMP,"10,000 ft",2021-12-30,42-105-42511,31.0760725 / -101.1493927,1800,2021-11-09,42,105,,,,,
93,Permian - Delaware,CIMAREX ENERGY CO.,TX,CULBERSON,01/12/2022,H,GO FOR GIN 27 STATE UNIT 3H,Unit 405,OIL & GAS,"FORD, WEST,SANDBAR","BONE SPRING, WOLFCAMP","15,000 ft",2022-01-04,42-109-33789,31.8193781 / -104.2623949,1500,2021-09-23,42,109,,,,,
