,Basin,Operator,State,County,report_date,drill_type,well,rig,well_type,field,formation,permit_depth,spud_date,API_UWI,lat_long,rated_hp,permit_approval_date,state_id,county_id,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1
30,Haynesville,AETHON ENERGY OPERATING L,LA,BIENVILLE,01/03/2022,H,HA RA SU76;LEE 24-13 HC 002-ALT,Precision 614,GAS,WOODARDVILLE,HAYNESVILLE,"18,208 ft",2021-12-14,17-013-22249,32.2635777 / -93.3496359,1500,2021-09-10,17,13,,,,
31,Anadarko,CONTINENTAL RESOURCES INC,OK,BLAINE,01/03/2022,H,NUZUM 2-1-12XHM,Patterson 293,OIL & GAS, ,MISS'AN LM,"21,999 ft",2021-12-20,35-011-24284,35.7244575 / -98.4234205,1500,2021-11-10,35,11,,,,
32,Anadarko,CONTINENTAL RESOURCES INC,OK,BLAINE,01/03/2022,H,LORENE 2-8-5XHM,Nabors 890,OIL & GAS, ,"MISSISSIPPI SOLID, MISSISSIPPIAN (LESS CHESTER)","22,672 ft",2021-11-16,35-011-24281,35.6964314 / -98.5016564,1500,2021-11-01,35,11,,,,
33,Anadarko,DEVON ENERGY PRODUCTION CO LP,OK,BLAINE,01/03/2022,H,LAKE 26_35-15N-10W 4HX,Cyclone 43,OIL & GAS, ,"MISSISSIPPI SOLID, WOODFORD","21,323 ft",2021-12-25,35-011-24286,35.7549426 / -98.2345788,1500,2021-11-15,35,11,,,,
34,Anadarko,STAGHORN PETROLEUM II LLC,OK,BLAINE,01/03/2022,H,YOSEMITE 18-13-32 1H,Kenai 44,OIL & GAS, ,MISSISSIPPIAN,"16,600 ft",2021-12-13,35-011-24283,35.986259 / -98.6093551,1000,2021-11-09,35,11,,,,
35,Permian - Midland,"CGS OPERATING, LLC",TX,BORDEN,01/03/2022,V,BROOKHAVEN 1,AKITA 524,OIL,MESQUITE CREEK,MISS.,"9,900 ft",2021-12-24,42-033-32566,32.7379515 / -101.6191399,1500,2021-12-01,42,33,,,,
36,Haynesville,AETHON ENERGY OPERATING L,LA,BOSSIER,01/03/2022,H,HA RA SU85;CLAY 21-16 HC 002-ALT,Precision 576,GAS,SLIGO,HAYNESVILLE,"21,156 ft",2021-12-21,17-015-25230,32.4400745 / -93.5046256,1500,2021-09-10,17,15,,,,
37,Haynesville,AETHON ENERGY OPERATING L,LA,BOSSIER,01/03/2022,H,HA RA SU85;CLAY 21-16 HC 006-ALT,Precision 565,GAS,SLIGO,HAYNESVILLE,"21,232 ft",2021-12-05,17-015-25234,32.4391937 / -93.4972572,1500,2021-09-10,17,15,,,,
38,Haynesville,BPX OPERATING COMPANY,LA,BOSSIER,01/03/2022,H,HA RA SU54;TAYLOR 26-23 HC 001-ALT,Patterson 570,GAS,ELM GROVE,HA,"19,084 ft",2021-12-17,17-015-25241,32.3430437 / -93.4719375,1200,2021-11-16,17,15,,,,
39,Haynesville,"EMPRESA OPERATING, LLC",LA,BOSSIER,01/03/2022,H,CV RA SUE;BEAUREGARD 24-14 HC 001,Big E 2,GAS,BENTON,COTTON VALLEY,"18,000 ft",2021-12-24,17-015-25235,32.7116608 / -93.6656728,1500,2021-09-17,17,15,,,,
40,Haynesville,ENSIGHT IV ENERGY MANAGEM,LA,BOSSIER,01/03/2022,H,LCV RA SUL;ROY 7 H 001-ALT,Basin 103,GAS,SLIGO,LCV,"13,619 ft",2021-12-03,17-015-25198,32.4678879 / -93.5424191,2000,2021-09-16,17,15,,,,
41,Haynesville,"R360 ENVIRONMENTAL SOLUTIONS OF LA, LLC",LA,BOSSIER,01/03/2022,V,US LIQUIDS BOSSIER SWD 006,Energy 15,UNKNOWN,ELM GROVE, , ,2021-11-28,17-015-88164,32.349002 / -93.495841,1000,2021-06-07,17,15,,,,
42,Northeast,CHESAPEAKE APPALACHIA LLC,PA,BRADFORD,01/03/2022,H,BRINK 103H,Nabors X25,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"15,562 ft",2021-12-23,37-015-23699,41.7528034 / -76.2514358,1500,2021-09-09,37,15,,,,
43,Northeast,CHESAPEAKE APPALACHIA LLC,PA,BRADFORD,01/03/2022,H,SOLOWIEJ 1HC,Patterson 583,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"15,480 ft",2021-12-29,37-015-23689,41.7124661 / -76.2992945,1500,2021-06-01,37,15,,,,
44,Eagleford,APACHE CORPORATION,TX,BRAZOS,01/03/2022,H,RUST UNIT B 2H,Patterson 246,OIL,GIDDINGS,AUSTIN CHALK-3,"12,000 ft",2021-12-21,42-041-32626,30.6480146 / -96.2045841,1500,2021-09-22,42,41,,,,
45,DJ Basin,EXTRACTION OIL & GAS INC,CO,BROOMFIELD,01/03/2022,H,UNITED B S16-20-17N,Ensign 769,OIL,WATTENBERG,NIOBRARA,"17,866 ft",2021-12-29,05-014-20809,39.985479 / -105.000486,1500,2018-10-02,5,14,,,,
46,Eagleford,"HAWKWOOD ENERGY OPERATING, LLC",TX,BURLESON,01/03/2022,H,PIWONKA 2H,Patterson 238,OIL & GAS,AGUILA VADO,EAGLEFORD,"9,000 ft",2021-12-28,42-051-34356,30.5054262 / -96.6272186,1500,2021-09-21,42,51,,,,
47,Northeast,"PENNENERGY RESOURCES, LLC",PA,BUTLER,01/03/2022,H,RAPE UNIT 4H,Patterson 577,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"15,876 ft",2021-12-16,37-019-22884,40.7771992 / -80.037952,1200,2021-09-07,37,19,,,,
48,Haynesville,"BLUE DOME OPERATING, LLC",LA,CADDO,01/03/2022,H,DMQ ETAL 22-27 H 001,Cactus 159,GAS,GREENWOOD-WASKOM,"HAYNESVILLE, NON UNITIZED","22,500 ft",2021-12-15,17-017-36508,32.3692759 / -93.9863589,1500,2021-11-02,17,17,,,,
49,Haynesville,BPX OPERATING COMPANY,LA,CADDO,01/03/2022,H,HA RA SU58;C R WOODS 4-33-28HC 001-ALT,H&P 430,GAS,GREENWOOD-WASKOM,HA, ,2021-12-20,17-017-36493,32.4873702 / -94.0029395,1500,2021-09-16,17,17,,,,
50,Haynesville,"CHESAPEAKE OPERATING, L.L.C",LA,CADDO,01/03/2022,H,HA RA SUBB;WOO17&20&29-16-15HC 002-ALT,Patterson 587,GAS,JOHNSON BRANCH,HAYNESVILLE,"24,620 ft",2021-12-13,17-017-36497,32.3842313 / -93.9190673,1500,2021-10-22,17,17,,,,
51,Haynesville,"CHESAPEAKE OPERATING, L.L.C",LA,CADDO,01/03/2022,H,HA RA SUM;AT&N 12&1-15-16 HC 003-ALT,Nabors B14,GAS,JOHNSON BRANCH,HAYNESVILLE,"23,191 ft",2021-12-23,17-017-36506,32.434561 / -94.849484,1500,2021-10-28,17,17,,,,
52,Anadarko,OKLAND OIL COMPANY,OK,CADDO,01/03/2022,D,RED ROCK 1-9,United Energy 2,OIL & GAS, ,"COTTAGE GROVE, LAYTON, MARCHAND, TONKAWA, UPPER HOXBAR","10,012 ft",2021-12-11,35-015-23324,35.4447477 / -98.3674494,1000,2021-12-01,35,15,,,,
53,Anadarko,R L & B ENERGY LLC,OK,CADDO,01/03/2022,V,THREE SISTERS 1-3,Dan D 20,OIL & GAS, ,"FORTUNA, MARCHAND, NILES, NOBLE-OLSON, OOLITIC MAIN, OOLITIC UP, ROWE LOW, ROWE UP, WADE, YULE","7,000 ft",2021-12-30,35-015-23322,34.9373656 / -98.131487,750,2021-11-12,35,15,,,,
54,Haynesville,"TRINITY OPERATING (USG), LLC",LA,CADDO,01/03/2022,H,HA RA SUQQ;ALPHA 5-32 H 002-ALT,Precision 616,GAS,LONGWOOD,HAYNESVILLE,"21,600 ft",2022-01-01,17-017-36520,32.5715983 / -93.8248944, ,2021-12-02,17,17,,,,
55,Haynesville,"TRINITY OPERATING (USG), LLC",LA,CADDO,01/03/2022,H,BLOUNT 15-22 H 003,Cactus 150,GAS,GREENWOOD-WASKOM,HAYNESVILLE,"21,600 ft",2021-12-14,17-017-36518,32.5568321 / -93.8794625,1500,2021-11-30,17,17,,,,
56,Haynesville,"TRINITY OPERATING (USG), LLC",LA,CADDO,01/03/2022,H,HA RA SU134;BELLEVUE 11-14 H 001,Cactus 158,GAS,GREENWOOD-WASKOM,HAYNESVILLE,"21,650 ft",2021-12-25,17-017-36488,32.577919 / -93.8795928,1500,2021-09-07,17,17,,,,
57,Gulf Coast,"ROBERTSON ENERGY, LLC",LA,CALCASIEU,01/03/2022,D,MARCANTEL 001,Precision 840,GAS,IOWA,FY,"11,386 ft",2021-12-12,17-019-22398,30.2951603 / -93.0467503,1400,2021-12-03,17,19,,,,
58,Northeast,SENECA RESOURCES CORP,PA,CAMERON,01/03/2022,H,LEH WT 2340 384HU 53336,Falcon 27,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"21,780 ft",2021-12-13,37-023-20290,41.5717945 / -78.3983591,850,2021-10-08,37,23,,,,
59,Powder River,EOG RESOURCES INC,WY,CAMPBELL,01/03/2022,H,TANAGER 0705-18H,Unit 406,OIL,WC,FRONTIER-TURNER,"21,690 ft",2021-12-19,49-005-77786,43.7114024 / -105.6720614,1500,2021-11-09,49,5,,,,
60,Powder River,EOG RESOURCES INC,WY,CAMPBELL,01/03/2022,H,IDLEWILD 3625-08H,Unit 403,OIL,WC,MOWRY,"22,395 ft",2021-12-31,49-005-77712,43.5645646 / -105.5759151,1500,2021-12-02,49,5,,,,
61,Powder River,PEAK POWDER RIVER RESOURCES LLC,WY,CAMPBELL,01/03/2022,H,IBERLIN FED 1-31-30H,Patterson 272,OIL,WC,SHANNON,"20,267 ft",2021-12-28,49-005-65595,43.6498619 / -105.7947266,1500,2021-07-06,49,5,,,,
62,Anadarko,CAMINO NATURAL RESOURCES LLC,OK,CANADIAN,01/03/2022,H,HUNT 1207 27-22-4MXH,Cactus 160,OIL & GAS, ,"MISSISSIPPIAN, WOODFORD","20,400 ft",2021-12-14,35-017-25716,35.4781134 / -97.9273848,1500,2021-10-07,35,17,,,,
63,Anadarko,CAMINO NATURAL RESOURCES LLC,OK,CANADIAN,01/03/2022,H,TOBY KEITH 1108 7-18-1MXH,Cactus 145,OIL & GAS, ,"MISSISSIPPIAN, WOODFORD","22,765 ft",2021-12-30,35-017-25718,35.4508046 / -98.0946065,1500,2021-10-15,35,17,,,,
64,Anadarko,CHAPARRAL ENERGY LLC,OK,CANADIAN,01/03/2022,H,MARBLE 1307 1SMH-34,Power Rig 6,OIL & GAS, ,MISSISSIPPIAN,"14,500 ft",2021-12-20,35-017-25706,35.5506726 / -97.9330279,1200,2021-09-24,35,17,,,,
65,Anadarko,CITIZEN ENERGY III LLC,OK,CANADIAN,01/03/2022,H,RIVER VIEW 2H-5-32,Unit 327,OIL & GAS, ,MISSISSIPPIAN,"24,000 ft",2021-12-15,35-017-25730,35.53702 / -98.286157,1500,2021-11-16,35,17,,,,
66,Anadarko,CITIZEN ENERGY III LLC,OK,CANADIAN,01/03/2022,H,DARROW TRUST 2H-7-6,Atlas 6,OIL & GAS, ,WOODFORD,"17,404 ft",2022-01-01,35-017-25601,35.3549094 / -97.7698702,1600,2021-12-17,35,17,,,,
67,Anadarko,DEVON ENERGY PRODUCTION CO LP,OK,CANADIAN,01/03/2022,H,MULLEN 32-15N-9W 2H,Cyclone 40,OIL & GAS, ,MISSISSIPPI SOLID,"15,952 ft",2021-12-25,35-017-25719,35.7244283 / -98.1801611,1500,2021-10-20,35,17,,,,
68,Anadarko,RED BLUFF RESOURCES OPERATING LLC,OK,CANADIAN,01/03/2022,H,JOANN BENNETT 1405 6-7MH,Power Rig 5,OIL & GAS, ,MISSISSIPPIAN (LESS CHESTER), ,2021-12-30,35-017-25733,35.6985426 / -97.7608966,1200,2021-11-24,35,17,,,,
69,Anadarko,TRAVIS PEAK RESOURCES LLC,OK,CANADIAN,01/03/2022,H,GEORGE FOLK 5-8-11N-6W 2MHX,H&P 493,OIL & GAS, ,MISSISSIPPI,"21,000 ft",2021-12-21,35-017-25709,35.4635771 / -97.8569909,1500,2021-09-28,35,17,,,,
70,Northeast,EAP OHIO LLC,OH,CARROLL,01/03/2022,H,WINDY RIDGE PLATFORM CR ORG 10H,Patterson 580,OIL & GAS, ,POINT PLEASANT,"23,981 ft",2021-12-26,34-019-22777,40.445974 / -81.2450347,1500,2021-06-04,34,19,,,,
71,Northeast,"EAP OHIO, LLC",OH,CARROLL,01/03/2022,,BAUER 14-14-6 5H,Patterson 571,UNKNOWN, , , ,2021-12-11,34-019-22791,40.4951019 / -81.1399231,1200, ,34,19,,,,
72,Haynesville,"ROSE CITY RESOURCES, LLC",TX,CASS,01/03/2022,V,PRICE 1,Steinberger 4,OIL,HIDDEN ROCK,COTTON VALLEY LIME,"11,300 ft",2021-12-18,42-067-30848,32.9453146 / -94.3579711,1000,2021-12-08,42,67,,,,
73,Permian - Delaware,RIDGEWAY ARIZONA OIL CORP.,NM,CHAVES,01/03/2022,H,STATE COM 403H,Norton 2,OIL,CHAVEROO,SAN ANDRES,"10,356 ft",2021-12-21,30-005-29225,33.6397261 / -103.5747476,1000,2021-11-02,30,5,,,,
74,Permian - Delaware,"TAMAROA OPERATING, LLC",NM,CHAVES,01/03/2022,D,HERITAGE PARK 001,S&M 12,OIL,WC,DEVONIAN,"8,382 ft",2021-12-20,30-005-64357,33.5116121 / -104.0159359, ,2021-02-19,30,5,,,,
75,DJ Basin,"MURFIN DRILLING CO., INC.",KS,CHEYENNE,01/03/2022,V,JEAN 'A' 2-7,Murfin 110,OIL,UNNAMED,LANSING,"4,800 ft",2021-12-30,15-023-21563,39.9755914 / -101.5123586,550,2021-12-06,15,23,,,,
76,Northeast,LAUREL MOUNTAIN PRODUCTION,PA,CLARION,01/03/2022,H,WINDY OAKLAND 5H,Pioneer 71,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"14,233 ft",2021-12-27,37-031-25698,41.1248829 / -79.6477656,1500,2021-11-15,37,31,,,,
77,Anadarko,"PALOMINO PETROLEUM, INC.",KS,CLARK,01/03/2022,V,STONEWALL 1,Fossil 3,OIL,UNNAMED,VIOLA,"6,400 ft",2021-12-20,15-025-21618,37.3008206 / -99.5503027,750,2021-12-07,15,25,,,,
78,Barnett,"MUIRFIELD EXPLORATION, LTD.",TX,CLAY,01/03/2022,V,KEETON 1,Duncan & Grace 4,OIL & GAS,"CLAY COUNTY REGULAR,WILDCAT", ,"4,500 ft",2021-10-23,42-077-35316,34.0099768 / -98.186002, ,2021-10-14,42,77,,,,
79,Arkoma,PABLO ENERGY II LLC,OK,COAL,01/03/2022,H,DON 2H-13,Latshaw 13,OIL & GAS, ,WOODFORD,"13,200 ft",2021-12-20,35-029-21409,34.5653273 / -96.3043629,1000,2021-09-09,35,29,,,,
80,Permian - Midland,"SILVER CREEK PERMIAN OP CO, LLC",TX,COCHRAN,01/03/2022,H,MORGAN 1H,Norton 4,OIL,COCHRAN,SAN ANDRES,"6,500 ft",2021-12-28,42-079-33425,33.0407702 / -102.8880357,650,2021-12-03,42,79,,,,
81,Gulf Coast,"STRAND ENERGY, L.C.",TX,COLORADO,01/03/2022,V,MAREK 1,LAUSON 3,OIL & GAS,COLUMBUS,CONSOLIDATED,"11,000 ft",2021-12-30,42-089-32764,29.7860905 / -96.5371429, ,2021-11-04,42,89,,,,
82,Northeast,EAP OHIO LLC,OH,COLUMBIANA,01/03/2022,,SEVEK 18-12-3 201H,Patterson 579,UNKNOWN, , , ,2021-12-25,34-029-21938,40.6286926 / -80.7887421,1200, ,34,29,,,,
83,Northeast,HILCORP ENERGY COMPANY,OH,COLUMBIANA,01/03/2022,H,FAIRFIELD-TARKA 3H,Precision 548,OIL & GAS, ,POINT PLEASANT FORMATION, ,2021-12-16,34-029-21925,40.8323936 / -80.6783853,1200,2021-09-01,34,29,,,,
84,Tuscaloosa,FLETCHER PETROLEUM CORP.,AL,CONECUH,01/03/2022,H,MCMILLAN 34-7 #1,WT Drilling 18,UNKNOWN,WILDCAT,SMACKOVER, ,2021-12-15,01-035-20371,31.2689415 / -87.1466577,1000,2021-10-01,1,35,,,,
85,Powder River,ANSCHUTZ OIL COMPANY LLC,WY,CONVERSE,01/03/2022,H,CAPTAIN FED 3671-20-32-14W NH,Cyclone 39,OIL,SCOTT,NIOBRARA,"22,139 ft",2021-12-27,49-009-31452,43.0734895 / -105.4109352,1500,2021-07-27,49,9,,,,
86,Powder River,ANSCHUTZ OIL COMPANY LLC,WY,CONVERSE,01/03/2022,H,DOLLY FED 3671-19-31-14W NH,Cyclone 36,OIL,SCOTT,NIOBRARA,"22,156 ft",2021-12-21,49-009-31444,43.072647 / -105.4304443,1500,2021-04-19,49,9,,,,
87,Powder River,ANSCHUTZ OIL COMPANY LLC,WY,CONVERSE,01/03/2022,H,REBA FED 3671-30-31-16W NH,Cyclone 33,OIL,SCOTT,NIOBRARA,"22,152 ft",2021-12-15,49-009-34195,43.0707235 / -105.423522,1500,2021-04-19,49,9,,,,
88,Powder River,"ANSCHUTZ OIL COMPANY, LLC",WY,CONVERSE,01/03/2022,H,NITRO FED 3569-7-19-14 TH,Precision 564,OIL,MIKES DRAW,TURNER,"21,463 ft",2021-12-20,49-009-40614,43.0156747 / -105.1921426,1500,2021-08-20,49,9,,,,
89,Powder River,"CONTINENTAL RESROUCES, INC.",WY,CONVERSE,01/03/2022,,SPILLMAN DRAW UNIT 36-73 34-1NH,H&P 385,UNKNOWN, , , ,2021-12-26,49-009-48722,43.0449028 / -105.6003113,1500, ,49,9,,,,
90,Powder River,DEVON ENERGY PRODUCTION COMPANY LP,WY,CONVERSE,01/03/2022,H,CWDU JRJ FED 07-063870-3XNH,Cyclone 42,OIL,WC,NIOBRARA,"19,109 ft",2021-12-26,49-009-48718,43.2792328 / -105.31624, ,2021-08-30,49,9,,,,
91,Powder River,NORTHWOODS OPERATING LLC,WY,CONVERSE,01/03/2022,H,ASPEN 18E06-8NH,Nabors B03,OIL,WC,NIOBRARA,"22,049 ft",2021-12-23,49-009-48356,43.359046 / -105.9001136,1500,2021-09-23,49,9,,,,
92,Permian - Midland,"BLACKBEARD OPERATING, LLC",TX,CRANE,01/03/2022,V,WATERLOGGED 7SD,Savanna 415,INJECTION,SAND HILLS,ELLENBURGER,"9,000 ft",2021-12-25,42-103-36921,31.5148899 / -102.6197599,650,2021-12-02,42,103,,,,
93,Permian - Midland,"BLACKBEARD OPERATING, LLC",TX,CRANE,01/03/2022,V,WADDELL TR A 3013,Savanna 417,OIL & GAS,SAND HILLS,"CLEAR FORK, SAN ANGELO, UPPER, TUBB, WOLFCAMP","9,000 ft",2021-12-28,42-103-36830,31.5191633 / -102.7066209,650,2021-07-01,42,103,,,,
94,Permian - Midland,"STRONGHOLD ENERGY II OPER, LLC",TX,CRANE,01/03/2022,V,"MCKNIGHT, M.B. 0315M",Savanna 642,OIL & GAS,"ARMER,RUNNING W, N.,SAND HILLS","CLEAR FORK, HOLT, TUBB","6,000 ft",2021-12-31,42-103-36857,31.5429963 / -102.6994014,750,2021-08-24,42,103,,,,
