,Basin,Operator,State,County,report_date,drill_type,well,rig,well_type,field,formation,permit_depth,spud_date,API_UWI,lat_long,rated_hp,permit_approval_date,state_id,county_id
15,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,11/22/2021,H,RAINIER GAS UNIT 3H,Precision 579,GAS,CARTHAGE,HAYNESVILLE SHALE,"17,200 ft",2021-07-26,42-005-30462,31.3147543 / -94.5570933,1500,2021-04-21,42,5
16,DJ Basin,CRESTONE PEAK RESOURCES OPERATING LLC,CO,ARAPAHOE,11/22/2021,H,ARKANSAS 4-64 3-2 1AH,Ensign 140,OIL,DJ HORIZONTAL NIOBRARA,NIOBRARA,"18,430 ft",2021-11-10,05-005-07360,39.7298516 / -104.5444151,1500,2021-09-15,5,5
17,Northeast,SNYDER BROS INC,PA,ARMSTRONG,11/22/2021,H,CLEPPER 1H,Precision 539,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"18,218 ft",2021-11-14,37-005-31388,40.7407225 / -79.6204586,1200,2021-05-03,37,5
18,Sedgwick,"BRISCOE PETROLEUM, LLC",KS,BARBER,11/22/2021,V,HARBAUGH HEIRS 1,Duke 7,OIL,RHODES,ARBUCKLE,"5,200 ft",2021-11-12,15-007-24395,37.1737804 / -98.5955526,450,2021-10-19,15,7
19,Sedgwick,"GRIFFIN, CHARLES N.",KS,BARBER,11/22/2021,V,ALEXA #1,Murfin 104,OIL,MOFFETT WEST,"CHEROKEE, SIMPSON, VIOLA","4,900 ft",2021-11-17,15-007-24396,37.4523219 / -98.9760189,550,2021-10-25,15,7
20,Sedgwick,BLACK DAHLIA OIL & GAS CO.,KS,BARTON,11/22/2021,V,BORTZ-1 SBS 32-1,Southwind 1,OIL,UNNAMED,ARBUCKLE,"3,450 ft",2021-11-18,15-009-26319,38.5313336 / -98.5683606,400,2021-11-09,15,9
21,Sedgwick,"JASON OIL COMPANY, LLC",KS,BARTON,11/22/2021,V,WIRTH 8,Discovery 2,OIL,KRAFT-PRUSA,ARBUCKLE,"3,400 ft",2021-11-18,15-009-26305,38.6730494 / -98.569747,475,2021-06-08,15,9
22,Gulf Coast,"LAFAYETTE OILFIELD CONTRACTORS, INC.",LA,BEAUREGARD,11/22/2021,D,F RB SUA;RICHARD COOLEY 002-ALT,Energy 10,OIL,COWARDS GULLY,F,"4,900 ft",2021-11-07,17-011-21282,30.4649004 / -93.4931311,750,2021-09-20,17,11
23,North Slope,CONOCOPHILLIPS ALASKA INC,AK,BEECHEY POINT,11/22/2021,V,KUPARUK RIV UNIT 3F-02L1,Nabors CDR3,OIL,KUPARUK RIVER,KUPARUK RIVER OIL, ,2021-11-19,50-029-21447,70.3718978 / -149.9325119,650,2021-11-01,50,29
24,Northeast,"ASCENT RESOURCES UTICA, LLC",OH,BELMONT,11/22/2021,,BLAYNEY SE WHL BL 6H,Patterson 578,UNKNOWN, , , ,2021-11-15,34-013-21504,40.1156998 / -80.9923248,1200, ,34,13
25,Northeast,"GULFPORT APPALACHIA, LLC",OH,BELMONT,11/22/2021,,CHARLOTTE 211404 1A,Patterson 296,UNKNOWN, , , ,2021-09-28,34-013-21496,39.9339066 / -80.9230499,1500, ,34,13
26,Haynesville,AETHON ENERGY OPERATING L,LA,BIENVILLE,11/22/2021,H,HA RA SUT;J SALTER 19-18 HC 001-ALT,Precision 609,GAS,WOODARDVILLE,HAYNESVILLE,"18,476 ft",2021-11-06,17-013-22251,32.2809 / -93.3326829,1500,2021-09-28,17,13
27,Haynesville,AETHON ENERGY OPERATING L,LA,BIENVILLE,11/22/2021,H,HA RA SUFF;GEP 13-24-25 HC 002-ALT,Precision 556,GAS,WOODARDVILLE,HAYNESVILLE SHALE,"23,070 ft",2021-11-10,17-013-22244,32.2954032 / -93.3443027,1800,2021-08-11,17,13
28,Haynesville,AETHON ENERGY OPERATING L,LA,BIENVILLE,11/22/2021,H,HA RA SUO;DSK 3-10 HC 003-ALT,Precision 614,GAS,ALABAMA BEND,HAYNESVILLE,"22,485 ft",2021-10-22,17-013-22238,32.3214494 / -93.3842281,1500,2021-05-25,17,13
29,Haynesville,AETHON ENERGY OPERATING L,LA,BIENVILLE,11/22/2021,H,HA RA SUT;M SANDERS 4 H 001-ALT,Pinnergy 6,GAS,ALABAMA BEND,HAYNESVILLE,"17,457 ft",2021-11-17,17-013-22246,32.3077245 / -93.3002418,750,2021-08-26,17,13
30,Haynesville,BPX OPERATING COMPANY,LA,BIENVILLE,11/22/2021,H,HA RA SUR;J P HOLLEY 8-17 HC 001-ALT,H&P 445,GAS,ALABAMA BEND,HAYNESVILLE,"21,724 ft",2021-11-11,17-013-22250,32.3076233 / -93.4193668,1500,2021-09-16,17,13
31,Anadarko,CONTINENTAL RESOURCES INC,OK,BLAINE,11/22/2021,H,TRES C FIU 2-35-2XHM,Patterson 293,OIL & GAS, ,MISSISSIPPIAN,"22,139 ft",2021-11-11,35-011-24278,35.7389808 / -98.5504938,1500,2021-09-30,35,11
32,Anadarko,CONTINENTAL RESOURCES INC,OK,BLAINE,11/22/2021,H,TRES C FEDERAL 3-35-2XHM,H&P 544,OIL & GAS, ,MISSISSIPPIAN,"22,134 ft",2021-11-04,35-011-24279,35.738929 / -98.559959,1500,2021-09-30,35,11
33,Anadarko,CONTINENTAL RESOURCES INC,OK,BLAINE,11/22/2021,H,RANDOLPH 4-34-27XHM,H&P 529,OIL & GAS, ,MISSISSIPPIAN,"22,254 ft",2021-10-27,35-011-24230,35.7263976 / -98.568676,1500,2021-09-21,35,11
34,Anadarko,CONTINENTAL RESOURCES INC,OK,BLAINE,11/22/2021,H,LORENE 2-8-5XHM,Nabors 890,OIL & GAS, ,"MISSISSIPPI SOLID, MISSISSIPPIAN (LESS CHESTER)","22,672 ft",2021-11-16,35-011-24281,35.6964362 / -98.50165,1500,2021-11-01,35,11
35,Anadarko,CONTINENTAL RESOURCES INC,OK,BLAINE,11/22/2021,H,RANDOLPH 3-34-27XHM,Patterson 596,OIL & GAS, ,MISSISSIPPIAN,"20,009 ft",2021-11-12,35-011-24280,35.7260761 / -98.5775407,1500,2021-09-30,35,11
36,Anadarko,STAGHORN PETROLEUM II LLC,OK,BLAINE,11/22/2021,H,LASSEN 17-13-05 1H,Kenai 44,OIL & GAS, ,MISSISSIPPIAN,"16,245 ft",2021-09-29,35-011-24276,35.9873538 / -98.6094162,1000,2021-09-08,35,11
37,Permian - Midland,CALLON PETROLEUM OPERATING CO,TX,BORDEN,11/22/2021,H,CHAPARRAL UNIT A4 6AH,Cactus 162,OIL & GAS,SPRABERRY,TREND AREA,"8,900 ft",2021-11-05,42-033-32558,32.5267088 / -101.686213,1500,2021-09-20,42,33
38,Permian - Midland,"SURGE OPERATING, LLC",TX,BORDEN,11/22/2021,H,ERLKING UNIT B 21-09 6AH,Latshaw 20,OIL & GAS,SPRABERRY,TREND AREA,"8,500 ft",2021-11-16,42-033-32564,32.5341141 / -101.5225769,1500,2021-10-21,42,33
39,Haynesville,AETHON ENERGY OPERATING L,LA,BOSSIER,11/22/2021,H,HA RA SU85;CLAY 21-16 HC 003-ALT,Precision 576,GAS,SLIGO,HAYNESVILLE,"21,225 ft",2021-11-15,17-015-25231,32.4400729 / -93.5045908,1500,2021-09-10,17,15
40,Haynesville,AETHON ENERGY OPERATING L,LA,BOSSIER,11/22/2021,H,HA RA SU85;CLAY 21-16 HC 004-ALT,Precision 565,GAS,SLIGO,HAYNESVILLE,"21,223 ft",2021-11-14,17-015-25232,32.4390435 / -93.4971286,1500,2021-09-10,17,15
41,Haynesville,"EMPRESA OPERATING, LLC",LA,BOSSIER,11/22/2021,H,VUA;RIVERS 18-12 H 001,Big E 2,GAS,BENTON,COTTON VALLEY,"16,500 ft",2021-10-22,17-015-25226,32.7250357 / -93.6368014,1500,2021-07-23,17,15
42,Haynesville,ENSIGHT IV ENERGY MANAGEM,LA,BOSSIER,11/22/2021,H,HA RA SU144;SNYDER 31H 003-ALT,Basin 103,GAS,ELM GROVE,HAYNESVILLE,"16,290 ft",2021-11-17,17-015-25236,32.3366681 / -93.5432307,2000,2021-10-04,17,15
43,Northeast,CHESAPEAKE APPALACHIA LLC,PA,BRADFORD,11/22/2021,H,FINAN 1HC,Patterson 582,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"19,822 ft",2021-11-19,37-015-23651,41.5683355 / -76.3479197,1500,2021-10-09,37,15
44,Northeast,CHESAPEAKE APPALACHIA LLC,PA,BRADFORD,11/22/2021,H,BRINK 1H,Nabors X25,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"13,633 ft",2021-11-21,37-015-23697,41.7530894 / -76.2515974,1500,2021-09-09,37,15
45,Northeast,CHESAPEAKE APPALACHIA LLC,PA,BRADFORD,11/22/2021,H,LINSKI 24HC,Patterson 572,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"21,270 ft",2021-11-03,37-015-23692,41.666858 / -76.1490887,1200,2021-06-30,37,15
46,Eagleford,APACHE CORPORATION,TX,BRAZOS,11/22/2021,H,RUST UNIT A 1H,Patterson 246,OIL,GIDDINGS,AUSTIN CHALK-3,"12,000 ft",2021-11-10,42-041-32625,30.6480507 / -96.2046702,1500,2021-09-22,42,41
47,Northeast,"SWN PRODUCTION COMPANY, LLC",WV,BROOKE,11/22/2021,H,BRIAN TESLOVICH BRK 3  ,SWN Drilling 40,UNKNOWN, ,MARCELLUS SHALE, ,2021-11-05,47-009-00311,40.2167454 / -80.6333738,1500,2020-06-22,47,9
48,DJ Basin,EXTRACTION OIL & GAS INC,CO,BROOMFIELD,11/22/2021,H,UNITED A S16-20-8N,Ensign 161,OIL,WATTENBERG,NIOBRARA,"18,214 ft",2021-11-07,05-014-20804,40.3586866 / -104.7059834,1500,2018-10-02,5,14
49,Eagleford,"HAWKWOOD ENERGY OPERATING, LLC",TX,BURLESON,11/22/2021,H,JB RANCH WILCO ALLOCATION 1H,Patterson 238,OIL,AGUILA VADO,EAGLEFORD,"10,000 ft",2021-11-06,42-051-34331,30.5153465 / -96.6642902,1500,2020-01-17,42,51
50,Sedgwick,"EPOC, LLC.",KS,BUTLER,11/22/2021,V,T. WIEBE 31-6,C&G 2,OIL,HAZLETT,MISSISSIPPI,"2,600 ft",2021-11-16,15-015-24154,38.0057402 / -96.9168488,450,2021-10-25,15,15
51,Haynesville,"BLUE DOME OPERATING, LLC",LA,CADDO,11/22/2021,H,HA RA SU69;BICKNELL 1-36 HC 002-ALT,Cactus 159,GAS,GREENWOOD-WASKOM,HAYNESVILLE,"22,500 ft",2021-10-12,17-017-36485,32.4015489 / -93.961829,1500,2021-08-19,17,17
52,Haynesville,"CHESAPEAKE OPERATING, L.L.C",LA,CADDO,11/22/2021,H,HA RA SUB;HOPKINS23&14-15-16HC 001-ALT,Patterson 585,GAS,BETHANY LONGSTREET,HAYNESVILLE,"23,080 ft",2021-11-13,17-017-36412,32.2695078 / -93.9719029,1500,2021-01-11,17,17
53,Anadarko,"PEACHRIDGE ENERGY OPERATING, LLC",OK,CADDO,11/22/2021,H,DOVE 24-4H,Kenai 18,OIL & GAS, ,MARCHAND,"17,838 ft",2021-11-04,35-015-23319,35.2464571 / -98.3148926,1500,2021-08-11,35,15
54,Haynesville,"TRINITY OPERATING (USG), LLC",LA,CADDO,11/22/2021,H,HA RA SU119;T&A LLC 17-20 H 001,Precision 616,GAS,GREENWOOD-WASKOM,HAYNESVILLE,"21,600 ft",2021-11-10,17-017-36393,32.5597113 / -93.9221781, ,2021-05-24,17,17
55,Haynesville,"TRINITY OPERATING (USG), LLC",LA,CADDO,11/22/2021,H,HA RA SU121;BLOUNT 15-22 H 001-ALT,Cactus 150,GAS,GREENWOOD-WASKOM,HAYNESVILLE,"21,600 ft",2021-11-05,17-017-36479,32.5568391 / -93.8793801,1500,2021-08-11,17,17
56,Haynesville,"TRINITY OPERATING (USG), LLC",LA,CADDO,11/22/2021,H,HA RA SU132;SL HEROLD 23-14 H 002-ALT,Cactus 158,GAS,GREENWOOD-WASKOM,HAYNESVILLE,"21,650 ft",2021-11-01,17-017-36491,32.5284095 / -93.9797843,1500,2021-09-08,17,17
57,Northeast,SENECA RESOURCES COMPANY LLC,PA,CAMERON,11/22/2021,H,SRC WT 5036 321HU 53231,Patterson 328,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"24,099 ft",2021-11-08,37-023-20281,41.5741065 / -78.3208262,1500,2020-12-18,37,23
58,Powder River,DAUBE COMPANY THE,WY,CAMPBELL,11/22/2021,V,BROWN-KENNEDY 1-7,Capstar 311,OIL,WC,MINNELUSA,"7,600 ft",2021-11-10,49-005-77820,44.7685172 / -105.3269022,450,2021-09-13,49,5
59,Powder River,EOG RESOURCES INC,WY,CAMPBELL,11/22/2021,H,FINCH 1609-02H,Unit 406,OIL,WC,FRONTIER-TURNER,"20,673 ft",2021-11-13,49-005-77298,43.6939084 / -105.6333885,1500,2021-09-09,49,5
60,Powder River,PETROX RESOURCES INC,WY,CAMPBELL,11/22/2021,V,OLMSTEAD FEDERAL 11-18,Capstar 334,OIL,WC,MINNELUSA,"7,810 ft",2021-11-05,49-005-62847,44.9288973 / -105.450556,750,2021-10-28,49,5
61,Anadarko,CITIZEN ENERGY III LLC,OK,CANADIAN,11/22/2021,H,RIVER VIEW 1H-5-32,Unit 327,OIL & GAS, ,MISSISSIPPIAN,"23,800 ft",2021-11-03,35-017-25717,35.5369869 / -98.2861505,1500,2021-10-08,35,17
62,Anadarko,DEVON ENERGY PRODUCTION CO LP,OK,CANADIAN,11/22/2021,H,OTTO 31_30_19-15N-9W 5HXX,Cyclone 43,OIL & GAS, ,"MISSISSIPPI SOLID, MISSISSIPPIAN, WOODFORD", ,2021-11-10,35-017-25683,35.723072 / -98.2005473,1500,2021-06-11,35,17
63,Anadarko,DEVON ENERGY PRODUCTION CO LP,OK,CANADIAN,11/22/2021,H,MULLEN 32-15N-9W 2H,Cyclone 40,OIL & GAS, ,MISSISSIPPI SOLID,"15,952 ft",2021-11-17,35-017-25719,35.7244285 / -98.1801664,1500,2021-10-20,35,17
64,Anadarko,PALOMA OPERATING CO INC,OK,CANADIAN,11/22/2021,H,SOUTHERN STAR 33-13N-7W 6MH,H&P 493,OIL & GAS, ,MISSISSIPPIAN,"17,000 ft",2021-11-16,35-017-25687,35.5506208 / -97.9531428,1500,2021-06-16,35,17
65,Anadarko,RED BLUFF RESOURCES OPERATING LLC,OK,CANADIAN,11/22/2021,H,WALLACE 1306 1-12MH,Power Rig 5,OIL & GAS, ,MISSISSIPPIAN (LESS CHESTER),"14,908 ft",2021-11-18,35-017-25711,35.6086529 / -97.7861095,1200,2021-09-30,35,17
66,Northeast,EAP OHIO LLC,OH,CARROLL,11/22/2021,H,LLOYD SMITH 1-15-7 8H,Patterson 579,OIL & GAS, ,POINT PLEASANT FORMATION, ,2021-11-13,34-019-22785,40.474019 / -81.204884,1200,2021-09-16,34,19
67,Haynesville,"ROSE CITY RESOURCES, LLC",TX,CASS,11/22/2021,V,BOON 1,Steinberger 4,OIL,HIDDEN ROCK,COTTON VALLEY LIME,"11,300 ft",2021-11-10,42-067-30847,32.9783354 / -94.3582536,1000,2021-11-03,42,67
68,Northeast,DIMES ENERGY GP INC.,NY,CATTARAUGUS,11/22/2021,V,DH5 DH5,DALLAS-MORRIS 27,UNKNOWN,BRADFORD,BRADFORD SECOND,"1,845 ft",2021-11-16,31-009-30142,42.0449289 / -78.5332539, ,2021-10-25,31,9
69,Gulf Coast,LONE STAR NGL MONT BELVIEU LP,TX,CHAMBERS,11/22/2021,V,LONE STAR NGL MONT BELVIEU A005NT,Precision 750,UNKNOWN,BARBERS HILL, ,"3,500 ft",2021-10-21,42-071-32657,29.8574693 / -94.903119,1500,2021-08-04,42,71
70,Haynesville,SABINE OIL & GAS CORPORATION,TX,CHEROKEE,11/22/2021,H,MCGILL-MURPHY (AW) 1H,Scan Spirit,OIL & GAS,OVERTON,COTTON VALLEY SAND,"12,000 ft",2021-11-01,42-073-31583,32.1356573 / -95.1275007,1000,2021-05-13,42,73
71,Haynesville,"SUGAR CREEK PRODUCING COMPANY, LLC",LA,CLAIBORNE,11/22/2021,H,CV RA SUP;FORD 18 001,Reliance 3,UNKNOWN,SUGAR CREEK, ,"8,600 ft",2021-10-30,17-027-22623,32.6316237 / -92.9237803,1000,2021-10-18,17,27
72,Barnett,"MUIRFIELD EXPLORATION, LTD.",TX,CLAY,11/22/2021,V,KEETON 1,Duncan & Grace 4,OIL & GAS,"CLAY COUNTY REGULAR,WILDCAT", ,"4,500 ft",2021-10-23,42-077-35316,34.0099768 / -98.186002, ,2021-10-14,42,77
73,Arkoma,PABLO ENERGY II LLC,OK,COAL,11/22/2021,H,DON 2H-13,Latshaw 13,OIL & GAS, ,WOODFORD,"13,200 ft",2021-11-16,35-029-21409,34.5653273 / -96.3043629,1000,2021-09-09,35,29
74,Gulf Coast,"CALLOWAY ENGINEERING, LLC",TX,COLORADO,11/22/2021,D,CATHEDRAL OAKS-KOEHN 1,Big E 6,OIL & GAS,"DUBINA, SOUTH,WILDCAT", ,"10,000 ft",2021-11-09,42-089-32762,29.6435093 / -96.8088353,1500,2021-09-07,42,89
75,Gulf Coast,"CASTEX ENERGY, INC.",TX,COLORADO,11/22/2021,V,SCHINDLER 2,LAUSON 2,OIL & GAS,WILDCAT, ,"16,000 ft",2021-10-14,42-089-32763,29.6082924 / -96.3894503,750,2021-09-14,42,89
76,Northeast,HILCORP ENERGY COMPANY,OH,COLUMBIANA,11/22/2021,H,FAIRFIELD-TARKA 7H,Precision 548,OIL & GAS, ,POINT PLEASANT,"15,471 ft",2021-11-08,34-029-21928,40.8324203 / -80.6781413,1200,2021-02-25,34,29
77,West Coast,"FOOTHILL ENERGY, LLC",CA,COLUSA,11/22/2021,,CHARTER 12-1,Paul Graham 8,UNKNOWN, , , ,2021-10-18,04-011-20463,39.0792847 / -121.9153214,350, ,4,11
78,Powder River,ANADARKO E&P ONSHORE LLC,WY,CONVERSE,11/22/2021,H,EH SPACE C 3469-15-T3XH,Precision 564,OIL,WC,TURNER,"18,461 ft",2021-11-14,49-009-40186,42.934995 / -105.127659,1500,2021-05-12,49,9
79,Powder River,ANSCHUTZ EXPLORATION CORPORATION,WY,CONVERSE,11/22/2021,H,KAI FED 3671-36-25-1 TH,Cyclone 39,OIL,SCOTT,TURNER,"22,154 ft",2021-11-17,49-009-48641,43.0452094 / -105.319313,1500,2021-06-28,49,9
80,Powder River,ANSCHUTZ EXPLORATION CORPORATION,WY,CONVERSE,11/22/2021,H,KYRA FED 3671-36-25-3 TH,Cyclone 33,OIL,SCOTT,TURNER,"22,235 ft",2021-11-06,49-009-48644,43.0441934 / -105.3328393,1500,2021-06-28,49,9
81,Powder River,CHESAPEAKE OPERATING LLC,WY,CONVERSE,11/22/2021,H,NWFU 27-34-71 USA A NB 2H,Patterson 593,OIL,WC,NIOBRARA,"23,798 ft",2021-10-28,49-009-48717,42.893663 / -105.3682151,1500,2021-08-27,49,9
82,Powder River,"CONTINENTAL RESOURCES, INC.",WY,CONVERSE,11/22/2021,,HARDY FED 3873-0211 1FH,H&P 385,UNKNOWN, , , ,2021-11-12,49-009-48562,43.3015442 / -105.5919342,1500, ,49,9
83,Powder River,"CONTINENTAL RESOURCES, INC.",WY,CONVERSE,11/22/2021,H,REYNOLDS FED 3872-1930-1MDH,Cyclone 44,OIL,WC,MUDDY,"23,149 ft",2021-11-08,49-009-48724,43.2598662 / -105.5578431,2000,2021-11-05,49,9
84,Powder River,DEVON ENERGY PRODUCTION COMPANY LP,WY,CONVERSE,11/22/2021,H,RU JFW FED 13-243972-3XPH,Cyclone 42,OIL,WC,PARKMAN,"17,842 ft",2021-11-04,49-009-38452,43.3609978 / -105.4565185, ,2021-05-07,49,9
85,Powder River,EOG RESOURCES INC,WY,CONVERSE,11/22/2021,H,TOPAZ 1324-03H,Unit 403,OIL,WC,NIOBRARA,"20,293 ft",2021-11-17,49-009-48221,43.4464538 / -105.4440093,1500,2021-10-18,49,9
86,Powder River,NORTHWOODS OPERATING LLC,WY,CONVERSE,11/22/2021,V,ASPEN 18E19-8NH,Nabors B03,OIL,WC,NIOBRARA,"12,206 ft",2021-11-20,49-009-48358,43.3588207 / -105.9000492,1500,2021-09-21,49,9
87,Powder River,PEAK POWDER RIVER RESOURCES LLC,WY,CONVERSE,11/22/2021,H,INOT 1-22-15TH,Patterson 272,OIL,WC,FRONTIER-TURNER,"20,975 ft",2021-11-06,49-009-48602,43.2485559 / -105.3633091,1500,2021-08-23,49,9
88,Powder River,TRANSWORLD SYSTEMS PETROLEUM INC,WY,CONVERSE,11/22/2021,H,BU 22-30-35-67-4H,Ensign 162,OIL,PINEY CREEK,TEAPOT,"17,185 ft",2021-11-19,49-009-38964,42.9830468 / -104.9505402,1500,2021-08-13,49,9
89,Permian - Midland,"BLACKBEARD OPERATING, LLC",TX,CRANE,11/22/2021,V,BUCCANEER 3,Savanna 415,OIL,ARMER, ,"9,000 ft",2021-11-08,42-103-36900,31.5390847 / -102.7210462,650,2021-10-19,42,103
90,Permian - Midland,"STRONGHOLD ENERGY II OPER, LLC",TX,CRANE,11/22/2021,V,UL 35 1401S,Savanna 642,OIL,"JORDAN, S.",DEVONIAN,"9,500 ft",2021-11-16,42-103-36883,31.6381487 / -102.566092,750,2021-10-01,42,103
91,Permian - Delaware,CHEVRON U. S. A. INC.,TX,CULBERSON,11/22/2021,H,HAY BLAKE 7/6 0043WD,Nabors X53,OIL & GAS,"FORD, WEST",WOLFCAMP,"12,000 ft",2021-11-17,42-109-33778,31.9660681 / -104.1011402, ,2021-09-08,42,109
92,Permian - Delaware,CIMAREX ENERGY CO.,TX,CULBERSON,11/22/2021,H,BOLD VENTURE 20 STATE UNIT 4H,Unit 405,OIL & GAS,"FORD, WEST",WOLFCAMP,"15,000 ft",2021-11-11,42-109-33769,31.8193381 / -104.2954767,1500,2021-08-18,42,109
93,Permian - Delaware,CIMAREX ENERGY CO.,TX,CULBERSON,11/22/2021,H,TIM TAM 24 L 13H,Cactus 156,OIL & GAS,"FORD, WEST",WOLFCAMP,"13,500 ft",2021-11-12,42-109-33764,31.9538982 / -104.1138764,1500,2021-08-20,42,109
94,Permian - Delaware,CIMAREX ENERGY CO.,TX,CULBERSON,11/22/2021,H,AUTHENTIC 13 B STATE 2H,H&P 499,OIL & GAS,"FORD, WEST",WOLFCAMP,"15,000 ft",2021-11-18,42-109-33781,31.9536493 / -104.1233008,1500,2021-09-22,42,109
95,Permian - Delaware,CONOCOPHILLIPS COMPANY,TX,CULBERSON,11/22/2021,H,DUST DEVIL 2H,Nabors 891,OIL & GAS,"FORD, WEST",WOLFCAMP,"18,000 ft",2021-11-13,42-109-33730,31.8672465 / -104.1011858,1500,2021-04-08,42,109
96,Permian - Delaware,CPB WATER LLC,TX,CULBERSON,11/22/2021,D,CLAWDIA 1,United 52,INJECTION,FORD,DELAWARE,"6,500 ft",2021-11-03,42-109-33793,31.9986501 / -104.0618388,700,2021-10-08,42,109
97,Permian - Delaware,"SCALA ENERGY OPERATING, LLC",TX,CULBERSON,11/22/2021,H,NORMAN STATE 14 8H,Frontier 19,OIL & GAS,DERBY,BONE SPRING,"7,565 ft",2021-11-08,42-109-33779,31.8193099 / -104.3499607,1500,2021-09-08,42,109
