,Basin,Operator,State,County,report_date,drill_type,well,rig,well_type,field,formation,permit_depth,spud_date,API_UWI,lat_long,rated_hp,permit_approval_date,state_id,county_id,Unnamed: 0
32,Anadarko,CONTINENTAL RESOURCES INC,OK,BLAINE,12/14/2021,H,LORENE 2-8-5XHM,Nabors 890,OIL & GAS, ,"MISSISSIPPI SOLID, MISSISSIPPIAN (LESS CHESTER)","22,672 ft",2021-11-16,35-011-24281,35.6964224 / -98.5016528,1500,2021-11-01,35,11,
33,Anadarko,CONTINENTAL RESOURCES INC,OK,BLAINE,12/14/2021,H,RANDOLPH 3-34-27XHM,Patterson 596,OIL & GAS, ,MISSISSIPPIAN,"20,009 ft",2021-11-12,35-011-24280,35.7260761 / -98.5775407,1500,2021-09-30,35,11,
34,Anadarko,DEVON ENERGY PRODUCTION CO LP,OK,BLAINE,12/14/2021,H,LAKE 26_35-15N-10W 5HX,Cyclone 43,OIL & GAS, ,"MISSISSIPPI SOLID, WOODFORD","21,532 ft",2021-12-13,35-011-24285,35.7230721 / -98.2005477,1500,2021-11-15,35,11,
35,Anadarko,STAGHORN PETROLEUM II LLC,OK,BLAINE,12/14/2021,H,LASSEN 17-13-05 1H,Kenai 44,OIL & GAS, ,MISSISSIPPIAN,"16,245 ft",2021-09-29,35-011-24276,35.9873538 / -98.6094162,1000,2021-09-08,35,11,
36,Permian - Midland,"SURGE OPERATING, LLC",TX,BORDEN,12/14/2021,H,ERLKING UNIT B 21-09 5AH,Latshaw 20,OIL & GAS,SPRABERRY,TREND AREA,"8,500 ft",2021-11-25,42-033-32565,32.5340692 / -101.522568,1500,2021-11-03,42,33,
37,Haynesville,AETHON ENERGY OPERATING L,LA,BOSSIER,12/14/2021,H,HA RA SU85;CLAY 21-16 HC 003-ALT,Precision 576,GAS,SLIGO,HAYNESVILLE,"21,225 ft",2021-11-15,17-015-25231,32.440074 / -93.504619,1500,2021-09-10,17,15,
38,Haynesville,AETHON ENERGY OPERATING L,LA,BOSSIER,12/14/2021,H,HA RA SU85;CLAY 21-16 HC 006-ALT,Precision 565,GAS,SLIGO,HAYNESVILLE,"21,232 ft",2021-12-05,17-015-25234,32.4392259 / -93.4972572,1500,2021-09-10,17,15,
39,Haynesville,"EMPRESA OPERATING, LLC",LA,BOSSIER,12/14/2021,H,VUA;RIVERS 18-12 H 001,Big E 2,GAS,BENTON,COTTON VALLEY,"16,500 ft",2021-10-22,17-015-25226,32.7250958 / -93.6369681,1500,2021-07-23,17,15,
40,Haynesville,ENSIGHT IV ENERGY MANAGEM,LA,BOSSIER,12/14/2021,H,LCV RA SUL;ROY 7 H 001-ALT,Basin 103,GAS,SLIGO,LCV,"13,619 ft",2021-12-03,17-015-25198,32.4678775 / -93.5424191,2000,2021-09-16,17,15,
41,Haynesville,"R360 ENVIRONMENTAL SOLUTIONS OF LA, LLC",LA,BOSSIER,12/14/2021,V,US LIQUIDS BOSSIER SWD 006,Energy 15,UNKNOWN,ELM GROVE, , ,2021-11-28,17-015-88164,32.349002 / -93.495841,1000,2021-06-07,17,15,
42,Northeast,CHESAPEAKE APPALACHIA LLC,PA,BRADFORD,12/14/2021,H,BRINK 6HC,Nabors X25,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"22,641 ft",2021-11-29,37-015-23698,41.7527976 / -76.2514183,1500,2021-09-09,37,15,
43,Eagleford,APACHE CORPORATION,TX,BRAZOS,12/14/2021,H,RUST UNIT A 3H,Patterson 246,OIL,GIDDINGS,AUSTIN CHALK-3,"12,000 ft",2021-12-05,42-041-32627,30.648084 / -96.2047563,1500,2021-09-23,42,41,
44,DJ Basin,EXTRACTION OIL & GAS INC,CO,BROOMFIELD,12/14/2021,H,UNITED B S16-20-13C,Ensign 769,OIL,WATTENBERG,CODELL,"18,191 ft",2021-12-07,05-014-20808,39.985285 / -105.000541,1500,2018-10-02,5,14,
45,Eagleford,"HAWKWOOD ENERGY OPERATING, LLC",TX,BURLESON,12/14/2021,H,JB RANCH WILCO C 3H,Patterson 238,OIL,AGUILA VADO,EAGLEFORD,"10,000 ft",2021-12-09,42-051-34358,30.5150318 / -96.6640396,1500, ,42,51,
46,Sedgwick,JORDAN OIL MANAGEMENT INC.,KS,BUTLER,12/14/2021,V,MCCULLOCH 12A,C&G 2,OIL,WHITEWATER,VIOLA,"2,650 ft",2021-12-07,15-015-24158,37.8342225 / -97.0168615,450,2021-12-02,15,15,
47,Northeast,"PENNENERGY RESOURCES, LLC",PA,BUTLER,12/14/2021,H,RAPE UNIT 5H,Patterson 577,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"13,503 ft",2021-12-10,37-019-22885,40.7771497 / -80.0380588,1200,2021-09-07,37,19,
48,Haynesville,"BLUE DOME OPERATING, LLC",LA,CADDO,12/14/2021,H,DMQ ETAL 22-27 H 001,Cactus 159,GAS,GREENWOOD-WASKOM,"HAYNESVILLE, NON UNITIZED","22,500 ft",2021-12-12,17-017-36508,32.3688824 / -93.9870179,1500,2021-11-02,17,17,
49,Haynesville,BPX OPERATING COMPANY,LA,CADDO,12/14/2021,H,HA RA SUSS;CR WOODS 3-34-27 HC 001-ALT,H&P 430,GAS,GREENWOOD-WASKOM,HA, ,2021-12-03,17-017-36517,32.487367 / -94.00292,1500,2021-11-29,17,17,
50,Haynesville,"CHESAPEAKE OPERATING, L.L.C",LA,CADDO,12/14/2021,H,HA RA SUBB;WOO17&20&29-16-15HC 002-ALT,Patterson 587,GAS,JOHNSON BRANCH,HAYNESVILLE,"24,620 ft",2021-12-13,17-017-36497,32.3842313 / -93.9190673,1500,2021-10-22,17,17,
51,Haynesville,"CHESAPEAKE OPERATING, L.L.C",LA,CADDO,12/14/2021,H,HA RA SUM;AT&N 12&1-15-16 HC 001-ALT,Nabors B14,GAS,JOHNSON BRANCH,HAYNESVILLE,"23,276 ft",2021-12-13,17-017-36504,32.434561 / -94.849484,1500,2021-10-28,17,17,
52,Haynesville,"TRINITY OPERATING (USG), LLC",LA,CADDO,12/14/2021,H,HA RA SU119;T&A LLC 17-20 H 001,Precision 616,GAS,GREENWOOD-WASKOM,HAYNESVILLE,"21,600 ft",2021-11-10,17-017-36393,32.5597297 / -93.9221914, ,2021-05-24,17,17,
53,Haynesville,"TRINITY OPERATING (USG), LLC",LA,CADDO,12/14/2021,H,HA RA SU121;BLOUNT 15-22 H 002-ALT,Cactus 150,GAS,GREENWOOD-WASKOM,HAYNESVILLE,"21,600 ft",2021-11-25,17-017-36480,32.5568267 / -93.8794169,1500,2021-08-11,17,17,
54,Haynesville,"TRINITY OPERATING (USG), LLC",LA,CADDO,12/14/2021,H,HA RA SU134;BELLEVUE 11-14 H 002-ALT,Cactus 158,GAS,GREENWOOD-WASKOM,HAYNESVILLE,"21,650 ft",2021-12-10,17-017-36489,32.5779426 / -93.8793471,1500,2021-09-08,17,17,
55,Gulf Coast,"ROBERTSON ENERGY, LLC",LA,CALCASIEU,12/14/2021,H,MARCANTEL 001,Precision 840,UNKNOWN,IOWA, ,"11,386 ft",2021-12-08,17-019-22398,30.2951459 / -93.0467268,1400,2021-12-03,17,19,
56,Gulf Coast,"B&L RESOURCES, L.L.C.",TX,CALHOUN,12/14/2021,H,WELDER M 62H,Precision 522,OIL,HEYSER, ,"5,500 ft",2021-12-03,42-057-31823,28.6051863 / -96.8498717,1200,2021-11-29,42,57,
57,Northeast,SENECA RESOURCES CORP,PA,CAMERON,12/14/2021,H,SRC WT 5036 325HU 53235,Patterson 328,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"23,549 ft",2021-12-11,37-023-20284,41.5743125 / -78.3207881,1500,2021-10-27,37,23,
58,Powder River,EOG RESOURCES INC,WY,CAMPBELL,12/14/2021,H,TRIDENT 756-0225H,Unit 403,OIL,WC,FRONTIER-TURNER,"21,688 ft",2021-12-09,49-005-73547,43.7356864 / -105.7169993,1500,2021-11-26,49,5,
59,Powder River,PEAK POWDER RIVER RESOURCES LLC,WY,CAMPBELL,12/14/2021,H,IBERLIN FED 1-31-30NH,Patterson 272,OIL,WC,NIOBRARA,"21,426 ft",2021-12-05,49-005-65593,43.6499611 / -105.7943527,1500,2021-07-06,49,5,
60,Anadarko,CAMINO NATURAL RESOURCES LLC,OK,CANADIAN,12/14/2021,H,HUNT 1207 27-22-2MXH,Cactus 160,OIL & GAS, ,"MISSISSIPPIAN, WOODFORD","20,317 ft",2021-11-30,35-017-25714,35.4781031 / -97.9272103,1500,2021-10-01,35,17,
61,Anadarko,CITIZEN ENERGY III LLC,OK,CANADIAN,12/14/2021,H,RIVER VIEW 1H-5-32,Unit 327,OIL & GAS, ,MISSISSIPPIAN,"23,800 ft",2021-11-03,35-017-25717,35.5369949 / -98.2861549,1500,2021-10-08,35,17,
62,Anadarko,DEVON ENERGY PRODUCTION CO LP,OK,CANADIAN,12/14/2021,H,MULLEN 32-15N-9W 4H,Cyclone 40,OIL & GAS, ,MISSISSIPPI SOLID,"16,087 ft",2021-12-01,35-017-25721,35.7244263 / -98.1801655,1500,2021-10-20,35,17,
63,Anadarko,PALOMA OPERATING CO INC,OK,CANADIAN,12/14/2021,H,SOUTHERN STAR 33-13N-7W 9MH,H&P 493,OIL & GAS, ,MISSISSIPPIAN,"17,000 ft",2021-12-07,35-017-25686,35.5506235 / -97.9531027,1500,2021-06-16,35,17,
64,Northeast,EAP OHIO LLC,OH,CARROLL,12/14/2021,H,WINDY RIDGE PLATFORM CR ORG 8H,Patterson 580,OIL & GAS, ,POINT PLEASANT,"24,012 ft",2021-12-11,34-019-22776,40.4459611 / -81.2451068,1500,2021-06-04,34,19,
65,Northeast,"EAP OHIO, LLC",OH,CARROLL,12/14/2021,,BAUER 14-14-6 5H,Patterson 571,UNKNOWN, , , ,2021-12-11,34-019-22791,40.4951019 / -81.1399231,1200, ,34,19,
66,Northeast,"EOG RESOURCES, INC",OH,CARROLL,12/14/2021,,ROSE 0801 1H,Pioneer 71,UNKNOWN, , , ,2021-11-26,34-019-22788,40.5909309 / -81.2328873,1500, ,34,19,
67,Anadarko,KODIAK OIL & GAS INC,OK,CARTER,12/14/2021,V,HHU 627,HWH 2,OIL & GAS, ,HOXBAR,"2,400 ft",2021-12-06,35-019-26462,34.1841488 / -97.3976987, ,2021-11-12,35,19,
68,Haynesville,"ROSE CITY RESOURCES, LLC",TX,CASS,12/14/2021,V,DUNCAN 1,Steinberger 4,OIL,HIDDEN ROCK,COTTON VALLEY LIME,"11,300 ft",2021-12-07,42-067-30843,32.9406087 / -94.3855526,1000,2021-11-17,42,67,
69,Northeast,DIMES ENERGY GP INC.,NY,CATTARAUGUS,12/14/2021,V,DH9 DH9,DALLAS-MORRIS 27,UNKNOWN,BRADFORD,BRADFORD SECOND,"1,930 ft",2021-12-01,31-009-30145,42.0461152 / -78.5332386, ,2021-10-25,31,9,
70,Permian - Delaware,RIDGEWAY ARIZONA OIL CORP.,NM,CHAVES,12/14/2021,H,STATE COM 402H,Norton 2,OIL,CHAVEROO,SAN ANDRES,"10,065 ft",2021-12-07,30-005-29224,33.639724 / -103.5747965,1000,2021-11-02,30,5,
71,DJ Basin,"MURFIN DRILLING CO., INC.",KS,CHEYENNE,12/14/2021,V,SHONES 2-5,Murfin 110,OIL,JONES CANYON,LANSING,"5,000 ft",2021-12-11,15-023-21562,39.9938285 / -101.4926219,550,2021-12-06,15,23,
72,Michigan,WEST BAY EXPLORATION CO,MI,CLARE,12/14/2021,V,STATE REDDING 1-20,B&H 4,OIL,DUNDEE,DUNDEE,"4,000 ft",2021-12-09,21-035-62017,44.0221467 / -85.0565224,475,2021-09-14,21,35,
73,Barnett,"MUIRFIELD EXPLORATION, LTD.",TX,CLAY,12/14/2021,V,KEETON 1,Duncan & Grace 4,OIL & GAS,"CLAY COUNTY REGULAR,WILDCAT", ,"4,500 ft",2021-10-23,42-077-35316,34.0099768 / -98.186002, ,2021-10-14,42,77,
74,Arkoma,PABLO ENERGY II LLC,OK,COAL,12/14/2021,H,DON 2H-13,Latshaw 13,OIL & GAS, ,WOODFORD,"13,200 ft",2021-11-16,35-029-21409,34.5653273 / -96.3043629,1000,2021-09-09,35,29,
75,Gulf Coast,"CASTEX ENERGY, INC.",TX,COLORADO,12/14/2021,V,SCHINDLER 2,LAUSON 2,OIL & GAS,WILDCAT, ,"16,000 ft",2021-10-14,42-089-32763,29.6082924 / -96.3894503,750,2021-09-14,42,89,
76,Northeast,"EAP OHIO, LLC",OH,COLUMBIANA,12/14/2021,,SEVEK 18-12-3 6H,Patterson 579,UNKNOWN, , , ,2021-12-13,34-029-21937,40.6286316 / -80.7888412,1200, ,34,29,
77,Northeast,HILCORP ENERGY COMPANY,OH,COLUMBIANA,12/14/2021,H,FAIRFIELD-TARKA 5H,Precision 548,OIL & GAS, ,POINT PLEASANT,"15,471 ft",2021-12-04,34-029-21926,40.8323991 / -80.6782655,1200,2021-02-25,34,29,
78,Powder River,ANADARKO E & P ONSHORE LLC,WY,CONVERSE,12/14/2021,H,EH FED SPACE C 3469-3-T3XH,Precision 564,OIL,WC,TURNER,"19,013 ft",2021-12-01,49-009-40160,42.9350157 / -105.127734,1500,2021-05-12,49,9,
79,Powder River,ANSCHUTZ EXPLORATION CORPORATION,WY,CONVERSE,12/14/2021,H,KAI FED 3671-36-25-1 TH,Cyclone 39,OIL,SCOTT,TURNER,"22,154 ft",2021-12-03,49-009-48641,43.0452114 / -105.3193153,1500,2021-06-28,49,9,
80,Powder River,ANSCHUTZ OIL COMPANY LLC,WY,CONVERSE,12/14/2021,H,REBA FED 3671-30-31-15W NH,Cyclone 33,OIL,SCOTT,NIOBRARA,"22,226 ft",2021-12-09,49-009-34194,43.0707229 / -105.4235212,1500,2021-07-27,49,9,
81,Powder River,BIG MUDDY OPERATING LLC,WY,CONVERSE,12/14/2021,D,SGBU 227 RDP 3,Capstar 334,OIL,GLENROCK SOUTH,DAKOTA,"6,200 ft",2021-12-01,49-009-48569,42.8324405 / -105.8812867,750,2021-01-21,49,9,
82,Powder River,CHESAPEAKE OPERATING LLC,WY,CONVERSE,12/14/2021,H,CLAUSEN 25-34-70 A NB 4H,Patterson 593,OIL,WC,NIOBRARA,"21,250 ft",2021-12-05,49-009-34313,42.895891 / -105.2075268,1500,2021-09-13,49,9,
83,Powder River,"CONTINENTAL RESROUCES, INC.",WY,CONVERSE,12/14/2021,,HARDY FED 3873-0211 1FH,H&P 385,UNKNOWN, , , ,2021-12-07,49-009-48562,43.3014565 / -105.5930328,1500, ,49,9,
84,Powder River,DEVON ENERGY PRODUCTION COMPANY LP,WY,CONVERSE,12/14/2021,H,CWDU JRJ FED 07-063870-3XNH,Cyclone 42,OIL,WC,NIOBRARA,"19,109 ft",2021-12-11,49-009-48718,43.2792111 / -105.3161746, ,2021-08-30,49,9,
85,Powder River,NORTHWOODS OPERATING LLC,WY,CONVERSE,12/14/2021,V,ASPEN 18E19-8NH,Nabors B03,OIL,WC,NIOBRARA,"12,206 ft",2021-12-01,49-009-48358,43.3590429 / -105.9000591,1500,2021-09-21,49,9,
86,Powder River,TRANSWORLD SYSTEMS PETROLEUM INC,WY,CONVERSE,12/14/2021,H,BU 22-30-35-67-1H,Ensign 162,OIL,PINEY CREEK,TEAPOT,"16,939 ft",2021-12-04,49-009-38967,42.9832115 / -104.9508648,1500,2021-08-13,49,9,
87,Barnett,GUNN OIL COMPANY,TX,COTTLE,12/14/2021,V,SUSANNA UNIT 1,Steinberger 3,OIL & GAS,"PROTHRO,WILDCAT",CANYON,"9,000 ft",2021-12-11,42-101-30762,33.9838922 / -100.4511806,1000,2021-11-23,42,101,
88,Permian - Midland,"BLACKBEARD OPERATING, LLC",TX,CRANE,12/14/2021,V,WADDELL TR A 3118,Savanna 417,OIL & GAS,SAND HILLS,"CLEAR FORK, SAN ANGELO, UPPER, TUBB, WOLFCAMP","9,000 ft",2021-12-09,42-103-36875,31.5037056 / -102.6564393,650,2021-09-21,42,103,
89,Permian - Midland,"STRONGHOLD ENERGY II OPER, LLC",TX,CRANE,12/14/2021,V,HAVARA 0802G,Savanna 642,OIL & GAS,"ARMER,RUNNING W, N.,SAND HILLS","CLEAR FORK, HOLT, TUBB, WOLFCAMP","7,000 ft",2021-12-13,42-103-36862,31.5372421 / -102.6893519,750,2021-08-24,42,103,
90,Permian - Midland,SEM OPERATING COMPANY LLC,TX,CROCKETT,12/14/2021,H,UNIVERSITY 40 2113WB,Precision 594,OIL & GAS,LIN,WOLFCAMP,"10,000 ft",2021-12-10,42-105-42507,31.0760602 / -101.1497017,1800,2021-11-09,42,105,
91,Permian - Delaware,APR OPERATING LLC,TX,CULBERSON,12/14/2021,V,ARMADILLO SWD 1,Sendero 19,INJECTION,"MARSH, S.",DELAWARE,"6,250 ft",2021-12-08,42-109-33534,31.6061605 / -104.0731893,525,2021-11-03,42,109,
92,Permian - Delaware,CHEVRON U. S. A. INC.,TX,CULBERSON,12/14/2021,H,HAY BLAKE 7/6 0041WD,Nabors X53,OIL & GAS,"FORD, WEST",WOLFCAMP,"12,000 ft",2021-12-01,42-109-33776,31.9660758 / -104.1012527, ,2021-09-08,42,109,
93,Permian - Delaware,CIMAREX ENERGY CO.,TX,CULBERSON,12/14/2021,H,GO FOR GIN 27 STATE UNIT 1H,Unit 405,OIL & GAS,"FORD, WEST,SANDBAR","BONE SPRING, WOLFCAMP","15,000 ft",2021-12-12,42-109-33787,31.8193729 / -104.2624694,1500,2021-09-24,42,109,
94,Permian - Delaware,CIMAREX ENERGY CO.,TX,CULBERSON,12/14/2021,H,AUTHENTIC 13 F STATE 6H,Cactus 156,OIL & GAS,"FORD, WEST",WOLFCAMP,"15,000 ft",2021-11-24,42-109-33785,31.9539102 / -104.1137792,1500,2021-09-22,42,109,
95,Permian - Delaware,CIMAREX ENERGY CO.,TX,CULBERSON,12/14/2021,H,AUTHENTIC 13 B STATE 2H,H&P 499,OIL & GAS,"FORD, WEST",WOLFCAMP,"15,000 ft",2021-12-07,42-109-33781,31.9536488 / -104.1233069,1500,2021-09-22,42,109,
96,Permian - Delaware,CONOCOPHILLIPS COMPANY,TX,CULBERSON,12/14/2021,H,DUST DEVIL 4H,Nabors 891,OIL & GAS,"FORD, WEST",WOLFCAMP,"18,000 ft",2021-11-30,42-109-33732,31.8672461 / -104.1011708,1500,2021-04-08,42,109,
97,Permian - Delaware,CPB WATER LLC,TX,CULBERSON,12/14/2021,V,BRONN SWD 58-2 1,United 52,INJECTION,"FORD, WEST", ,"6,400 ft",2021-11-28,42-109-33794,31.9921667 / -104.0407778,700,2021-10-08,42,109,
