,Basin,Operator,State,County,report_date,drill_type,well,rig,well_type,field,formation,permit_depth,spud_date,API_UWI,lat_long,rated_hp,permit_approval_date,state_id,county_id,Unnamed: 0,Unnamed: 0.1
18,Haynesville,AETHON ENERGY OPERATING LLC,TX,ANGELINA,12/20/2021,H,RAINIER GAS UNIT 4H,Precision 579,GAS,CARTHAGE,HAYNESVILLE SHALE,"17,200 ft",2021-12-15,42-005-30463,31.3146953 / -94.5570527,1500,2021-04-21,42,5,,
19,Michigan,MUSKEGON OPERATING COMPANY LLC,MI,ARENAC,12/20/2021,V,ROHDE 1-1,B&H 2,OIL,DUNDEE,DETROIT RIVER,"3,500 ft",2021-12-14,21-011-62008,44.1611481 / -83.8106791,300,2021-09-23,21,11,,
20,Northeast,SNYDER BROS INC,PA,ARMSTRONG,12/20/2021,H,CLEPPER 6H,Precision 539,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"15,064 ft",2021-12-16,37-005-31396,40.7407773 / -79.620402,1200,2021-05-06,37,5,,
21,Eagleford,"EOG RESOURCES, INC.",TX,ATASCOSA,12/20/2021,H,WILDEBEEST G 7H,H&P 263,OIL & GAS,EAGLEVILLE,EAGLE FORD-1,"11,500 ft",2021-12-14,42-013-35868,28.8538188 / -98.2081017,1500,2021-08-13,42,13,,
22,Arkoma,CANYON CREEK ENERGY ARKOMA LLC,OK,ATOKA,12/20/2021,H,MILLIE 24/25-1H,Cactus 154,OIL & GAS, ,WOODFORD,"18,200 ft",2021-12-06,35-005-20473,34.3756099 / -96.2139021,1500,2021-10-07,35,5,,
23,Austin Chalk,VERDUN OIL & GAS LLC,TX,AUSTIN,12/20/2021,H,TANNENBERG 1H,Nabors 1204,GAS,GIDDINGS,"AUSTIN CHALK, GAS","15,000 ft",2021-12-19,42-015-31073,30.0262356 / -96.5882564, ,2021-10-13,42,15,,
24,Sedgwick,"GRIFFIN, CHARLES N.",KS,BARBER,12/20/2021,V,CROMER 3-1-4,Murfin 104,OIL,UNNAMED,"CHEROKEE, SIMPSON, VIOLA","4,900 ft",2021-12-14,15-007-24387,37.4580514 / -98.9726314,550,2021-08-12,15,7,,
25,Sedgwick,"CHARTER ENERGY, INC.",KS,BARTON,12/20/2021,V,COTTER 1,Southwind 1,OIL,PRITCHARD,"ARBUCKLE, LKC","3,650 ft",2021-12-15,15-009-26329,38.2745186 / -98.8624899,400,2021-12-03,15,9,,
26,Sedgwick,PATTERSON ENERGY LLC,KS,BARTON,12/20/2021,V,MORGENSTERN 2-12,Murfin 20,OIL,TRAPP,ARBUCKLE,"3,450 ft",2021-12-11,15-009-26322,38.6707195 / -98.8254568,550,2021-11-10,15,9,,
27,North Slope,CONOCOPHILLIPS ALASKA INC,AK,BEECHEY POINT,12/20/2021,V,KUPARUK RIV UNIT 1G-17L1,Nabors CDR3,OIL,KUPARUK RIVER,KUPARUK RIV OIL, ,2021-12-15,50-029-22945,70.3601832 / -149.6775969,650,2021-12-08,50,29,,
28,Northeast,"GULFPORT APPALACHIA, LLC",OH,BELMONT,12/20/2021,,CHARLOTTE 210115 3A,Patterson 296,UNKNOWN, , , ,2021-12-17,34-013-21500,39.9339409 / -80.9231491,1500, ,34,13,,
29,Haynesville,AETHON ENERGY OPERATING L,LA,BIENVILLE,12/20/2021,H,HA RA SUT;J SALTER 19-18 HC 001-ALT,Precision 609,GAS,WOODARDVILLE,HAYNESVILLE,"18,476 ft",2021-11-06,17-013-22251,32.2809 / -93.3326829,1500,2021-09-28,17,13,,
30,Haynesville,AETHON ENERGY OPERATING L,LA,BIENVILLE,12/20/2021,H,HA RA SUFF;GEP 13-24-25 HC 001-ALT,Precision 556,GAS,WOODARDVILLE,HAYNESVILLE SHALE,"22,990 ft",2021-12-15,17-013-22243,32.2954528 / -93.3443027,1800,2021-08-11,17,13,,
31,Haynesville,AETHON ENERGY OPERATING L,LA,BIENVILLE,12/20/2021,H,HA RA SU76;LEE 24-13 HC 002-ALT,Precision 614,GAS,WOODARDVILLE,HAYNESVILLE,"18,208 ft",2021-12-14,17-013-22249,32.2635777 / -93.3496359,1500,2021-09-10,17,13,,
32,Bakken,SCOUT ENERGY MANAGEMENT LLC,ND,BILLINGS,12/20/2021,D,FRYBURG HEATH-MADISON UNIT E-805,CWC Ironhand 108,OIL & GAS,FRYBURG,HEATH/MADISON,"9,142 ft",2021-12-16,33-007-00091,46.850027 / -103.4191776,800,2021-08-13,33,7,,
33,Anadarko,CONTINENTAL RESOURCES INC,OK,BLAINE,12/20/2021,H,TRES C FIU 2-35-2XHM,Patterson 293,OIL & GAS, ,MISSISSIPPIAN,"22,139 ft",2021-11-11,35-011-24278,35.7389808 / -98.5504938,1500,2021-09-30,35,11,,
34,Anadarko,CONTINENTAL RESOURCES INC,OK,BLAINE,12/20/2021,H,LORENE 2-8-5XHM,Nabors 890,OIL & GAS, ,"MISSISSIPPI SOLID, MISSISSIPPIAN (LESS CHESTER)","22,672 ft",2021-11-16,35-011-24281,35.6964275 / -98.5016553,1500,2021-11-01,35,11,,
35,Anadarko,DEVON ENERGY PRODUCTION CO LP,OK,BLAINE,12/20/2021,H,LAKE 26_35-15N-10W 5HX,Cyclone 43,OIL & GAS, ,"MISSISSIPPI SOLID, WOODFORD","21,532 ft",2021-12-13,35-011-24285,35.7549409 / -98.2345746,1500,2021-11-15,35,11,,
36,Anadarko,STAGHORN PETROLEUM II LLC,OK,BLAINE,12/20/2021,H,YOSEMITE 18-13-32 1H,Kenai 44,OIL & GAS, ,MISSISSIPPIAN,"16,600 ft",2021-12-15,35-011-24283,35.986259 / -98.6093551,1000,2021-11-09,35,11,,
37,Permian - Midland,"SURGE OPERATING, LLC",TX,BORDEN,12/20/2021,H,ERLKING UNIT B 21-09 6AH,Latshaw 20,OIL & GAS,SPRABERRY,TREND AREA,"8,500 ft",2021-12-11,42-033-32564,32.5340788 / -101.5225732,1500,2021-10-21,42,33,,
38,Haynesville,AETHON ENERGY OPERATING L,LA,BOSSIER,12/20/2021,H,HA RA SU85;CLAY 21-16 HC 003-ALT,Precision 576,GAS,SLIGO,HAYNESVILLE,"21,225 ft",2021-11-15,17-015-25231,32.4400745 / -93.5046247,1500,2021-09-10,17,15,,
39,Haynesville,AETHON ENERGY OPERATING L,LA,BOSSIER,12/20/2021,H,HA RA SU85;CLAY 21-16 HC 006-ALT,Precision 565,GAS,SLIGO,HAYNESVILLE,"21,232 ft",2021-12-05,17-015-25234,32.4391722 / -93.4971284,1500,2021-09-10,17,15,,
40,Haynesville,BPX OPERATING COMPANY,LA,BOSSIER,12/20/2021,H,HA RA SU54;TAYLOR 26-23 HC 001-ALT,Patterson 570,GAS,ELM GROVE,HA,"19,084 ft",2021-12-17,17-015-25241,32.3430437 / -93.4719375,1200,2021-11-16,17,15,,
41,Haynesville,"EMPRESA OPERATING, LLC",LA,BOSSIER,12/20/2021,H,VUA;RIVERS 18-12 H 001,Big E 2,GAS,BENTON,COTTON VALLEY,"16,500 ft",2021-10-22,17-015-25226,32.7249348 / -93.6372685,1500,2021-07-23,17,15,,
42,Haynesville,ENSIGHT IV ENERGY MANAGEM,LA,BOSSIER,12/20/2021,H,LCV RA SUL;ROY 7 H 001-ALT,Basin 103,GAS,SLIGO,LCV,"13,619 ft",2021-12-03,17-015-25198,32.4678821 / -93.5424242,2000,2021-09-16,17,15,,
43,Haynesville,"R360 ENVIRONMENTAL SOLUTIONS OF LA, LLC",LA,BOSSIER,12/20/2021,V,US LIQUIDS BOSSIER SWD 006,Energy 15,UNKNOWN,ELM GROVE, , ,2021-11-28,17-015-88164,32.349002 / -93.495841,1000,2021-06-07,17,15,,
44,Northeast,CHESAPEAKE APPALACHIA LLC,PA,BRADFORD,12/20/2021,H,BRINK 6HC,Nabors X25,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"22,641 ft",2021-11-29,37-015-23698,41.7527987 / -76.2514226,1500,2021-09-09,37,15,,
45,Eagleford,APACHE CORPORATION,TX,BRAZOS,12/20/2021,H,RUST UNIT A 3H,Patterson 246,OIL,GIDDINGS,AUSTIN CHALK-3,"12,000 ft",2021-12-05,42-041-32627,30.648084 / -96.2047563,1500,2021-09-23,42,41,,
46,DJ Basin,EXTRACTION OIL & GAS INC,CO,BROOMFIELD,12/20/2021,H,UNITED B S16-20-13C,Ensign 769,OIL,WATTENBERG,CODELL,"18,191 ft",2021-12-07,05-014-20808,39.985285 / -105.000541,1500,2018-10-02,5,14,,
47,Eagleford,"HAWKWOOD ENERGY OPERATING, LLC",TX,BURLESON,12/20/2021,H,JB RANCH WILCO C 3H,Patterson 238,OIL,AGUILA VADO,EAGLEFORD,"10,000 ft",2021-12-09,42-051-34358,30.5150318 / -96.6640396,1500, ,42,51,,
48,Sedgwick,JORDAN OIL MANAGEMENT INC.,KS,BUTLER,12/20/2021,V,MCCULLOCH 12A,C&G 2,OIL,WHITEWATER,VIOLA,"2,650 ft",2021-12-14,15-015-24158,37.8342225 / -97.0168615,450,2021-12-02,15,15,,
49,Northeast,"PENNENERGY RESOURCES, LLC",PA,BUTLER,12/20/2021,H,RAPE UNIT 4H,Patterson 577,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"15,876 ft",2021-12-16,37-019-22884,40.7771992 / -80.037952,1200,2021-09-07,37,19,,
50,Haynesville,AETHON ENERGY OPERATING L,LA,CADDO,12/20/2021,H,HA RA SUJJ;SIMMONS 5 H 001-ALT,Pinnergy 6,GAS,ELM GROVE,HAYNESVILLE,"16,231 ft",2021-12-15,17-017-36501,32.3266754 / -93.6172576,750,2021-10-25,17,17,,
51,Haynesville,"BLUE DOME OPERATING, LLC",LA,CADDO,12/20/2021,H,DMQ ETAL 22-27 H 001,Cactus 159,GAS,GREENWOOD-WASKOM,"HAYNESVILLE, NON UNITIZED","22,500 ft",2021-12-15,17-017-36508,32.3692668 / -93.9863421,1500,2021-11-02,17,17,,
52,Haynesville,BPX OPERATING COMPANY,LA,CADDO,12/20/2021,H,HA RA SUSS;CR WOODS 3-34-27 HC 001-ALT,H&P 430,GAS,GREENWOOD-WASKOM,HA, ,2021-12-03,17-017-36517,32.4873685 / -94.0029251,1500,2021-11-29,17,17,,
53,Haynesville,"CHESAPEAKE OPERATING, L.L.C",LA,CADDO,12/20/2021,H,HA RA SUBB;WOO17&20&29-16-15HC 002-ALT,Patterson 587,GAS,JOHNSON BRANCH,HAYNESVILLE,"24,620 ft",2021-12-13,17-017-36497,32.3842313 / -93.9190673,1500,2021-10-22,17,17,,
54,Haynesville,"CHESAPEAKE OPERATING, L.L.C",LA,CADDO,12/20/2021,H,HA RA SUM;AT&N 12&1-15-16 HC 001-ALT,Nabors B14,GAS,JOHNSON BRANCH,HAYNESVILLE,"23,276 ft",2021-12-18,17-017-36504,32.434561 / -94.849484,1500,2021-10-28,17,17,,
55,Anadarko,OKLAND OIL COMPANY,OK,CADDO,12/20/2021,D,RED ROCK 1-9,United Energy 2,OIL & GAS, ,"COTTAGE GROVE, LAYTON, MARCHAND, TONKAWA, UPPER HOXBAR","10,012 ft",2021-12-11,35-015-23324,35.4447477 / -98.3674494,1000,2021-12-01,35,15,,
56,Haynesville,"TRINITY OPERATING (USG), LLC",LA,CADDO,12/20/2021,H,HA RA SU119;T&A LLC 17-20 H 002-ALT,Precision 616,GAS,GREENWOOD-WASKOM,HAYNESVILLE,"21,600 ft",2021-12-13,17-017-36394,32.5597272 / -93.9221795, ,2021-05-24,17,17,,
57,Haynesville,"TRINITY OPERATING (USG), LLC",LA,CADDO,12/20/2021,H,BLOUNT 15-22 H 003,Cactus 150,GAS,GREENWOOD-WASKOM,HAYNESVILLE,"21,600 ft",2021-12-14,17-017-36518,32.5568279 / -93.8794329,1500,2021-11-30,17,17,,
58,Haynesville,"TRINITY OPERATING (USG), LLC",LA,CADDO,12/20/2021,H,HA RA SU134;BELLEVUE 11-14 H 003-ALT,Cactus 158,GAS,GREENWOOD-WASKOM,HAYNESVILLE,"21,650 ft",2021-12-12,17-017-36490,32.5779199 / -93.8793566,1500,2021-09-08,17,17,,
59,Gulf Coast,"ROBERTSON ENERGY, LLC",LA,CALCASIEU,12/20/2021,D,MARCANTEL 001,Precision 840,GAS,IOWA,FY,"11,386 ft",2021-12-12,17-019-22398,30.295151 / -93.0467425,1400,2021-12-03,17,19,,
60,Northeast,SENECA RESOURCES CORP,PA,CAMERON,12/20/2021,H,LEH WT 2340 384HU 53336,Falcon 27,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"21,780 ft",2021-12-13,37-023-20290,41.5717945 / -78.3983591,850,2021-10-08,37,23,,
61,Northeast,SENECA RESOURCES CORP,PA,CAMERON,12/20/2021,H,SRC WT 5036 325HU 53235,Patterson 328,GAS,MARCELLUS SHALE,MARCELLUS SHALE,"23,549 ft",2021-12-11,37-023-20284,41.5743125 / -78.3207881,1500,2021-10-27,37,23,,
62,Powder River,EOG RESOURCES INC,WY,CAMPBELL,12/20/2021,H,TANAGER 0705-18H,Unit 406,OIL,WC,FRONTIER-TURNER,"21,690 ft",2021-12-14,49-005-77786,43.7111449 / -105.6719433,1500,2021-11-09,49,5,,
63,Powder River,EOG RESOURCES INC,WY,CAMPBELL,12/20/2021,H,TRIDENT 756-0225H,Unit 403,OIL,WC,FRONTIER-TURNER,"21,688 ft",2021-12-09,49-005-73547,43.7356807 / -105.717001,1500,2021-11-26,49,5,,
64,Powder River,PEAK POWDER RIVER RESOURCES LLC,WY,CAMPBELL,12/20/2021,H,IBERLIN FED 1-31-30TH,Patterson 272,OIL,WC,TURNER,"21,711 ft",2021-12-14,49-005-65592,43.6498924 / -105.7945969,1500,2021-07-06,49,5,,
65,Anadarko,CAMINO NATURAL RESOURCES LLC,OK,CANADIAN,12/20/2021,H,HUNT 1207 27-22-2MXH,Cactus 160,OIL & GAS, ,"MISSISSIPPIAN, WOODFORD","20,317 ft",2021-11-30,35-017-25714,35.4781172 / -97.9274211,1500,2021-10-01,35,17,,
66,Anadarko,CITIZEN ENERGY III LLC,OK,CANADIAN,12/20/2021,H,RIVER VIEW 2H-5-32,Unit 327,OIL & GAS, ,MISSISSIPPIAN,"24,000 ft",2021-12-15,35-017-25730,35.5370038 / -98.2861577,1500,2021-11-16,35,17,,
67,Anadarko,DEVON ENERGY PRODUCTION CO LP,OK,CANADIAN,12/20/2021,H,MULLEN 32-15N-9W 4H,Cyclone 40,OIL & GAS, ,MISSISSIPPI SOLID,"16,087 ft",2021-12-01,35-017-25721,35.724427 / -98.1801634,1500,2021-10-20,35,17,,
68,Anadarko,RED BLUFF RESOURCES OPERATING LLC,OK,CANADIAN,12/20/2021,H,EVERY 1405 4-19MH,Power Rig 5,OIL & GAS, ,MISSISSIPPIAN (LESS CHESTER),"14,100 ft",2021-12-14,35-017-25729,35.667985 / -97.7795618,1200,2021-11-12,35,17,,
69,Anadarko,TRAVIS PEAK RESOURCES LLC,OK,CANADIAN,12/20/2021,H,GEORGE FOLK 5-8-11N-6W 3MHX,H&P 493,OIL & GAS, ,MISSISSIPPI,"21,000 ft",2021-12-18,35-017-25710,35.4635775 / -97.8569627,1500,2021-09-28,35,17,,
70,Northeast,EAP OHIO LLC,OH,CARROLL,12/20/2021,H,WINDY RIDGE PLATFORM CR ORG 8H,Patterson 580,OIL & GAS, ,POINT PLEASANT,"24,012 ft",2021-12-11,34-019-22776,40.4459611 / -81.2451068,1500,2021-06-04,34,19,,
71,Northeast,"EAP OHIO, LLC",OH,CARROLL,12/20/2021,,BAUER 14-14-6 5H,Patterson 571,UNKNOWN, , , ,2021-12-11,34-019-22791,40.4951019 / -81.1399231,1200, ,34,19,,
72,Haynesville,"ROSE CITY RESOURCES, LLC",TX,CASS,12/20/2021,V,PRICE 1,Steinberger 4,OIL,HIDDEN ROCK,COTTON VALLEY LIME,"11,300 ft",2021-12-18,42-067-30848,32.9453211 / -94.3579675,1000,2021-12-08,42,67,,
73,Permian - Delaware,RIDGEWAY ARIZONA OIL CORP.,NM,CHAVES,12/20/2021,H,STATE COM 402H,Norton 2,OIL,CHAVEROO,SAN ANDRES,"10,065 ft",2021-12-07,30-005-29224,33.6397242 / -103.5747995,1000,2021-11-02,30,5,,
74,Permian - Delaware,"TAMAROA OPERATING, LLC",NM,CHAVES,12/20/2021,H,HELLCAT 003H,S&M 12,OIL,TWIN LAKE,SAN ANDRES (ASSOC),"7,348 ft",2021-12-07,30-005-64348,33.5912748 / -104.0404123, ,2019-12-24,30,5,,
75,DJ Basin,"MURFIN DRILLING CO., INC.",KS,CHEYENNE,12/20/2021,V,SHONES 2-5,Murfin 110,OIL,JONES CANYON,LANSING,"5,000 ft",2021-12-11,15-023-21562,39.9938314 / -101.4926287,550,2021-12-06,15,23,,
76,Michigan,WEST BAY EXPLORATION CO,MI,CLARE,12/20/2021,V,STATE REDDING 1-20,B&H 4,OIL,DUNDEE,DUNDEE,"4,000 ft",2021-12-09,21-035-62017,44.0221467 / -85.0565224,475,2021-09-14,21,35,,
77,Barnett,"MUIRFIELD EXPLORATION, LTD.",TX,CLAY,12/20/2021,V,KEETON 1,Duncan & Grace 4,OIL & GAS,"CLAY COUNTY REGULAR,WILDCAT", ,"4,500 ft",2021-10-23,42-077-35316,34.0099768 / -98.186002, ,2021-10-14,42,77,,
78,Arkoma,PABLO ENERGY II LLC,OK,COAL,12/20/2021,H,FREELAND 2H-18,Latshaw 13,OIL & GAS, ,WOODFORD,"13,200 ft",2021-12-08,35-029-21410,34.5653502 / -96.304401,1000,2021-09-10,35,29,,
79,Northeast,"EAP OHIO, LLC",OH,COLUMBIANA,12/20/2021,,SEVEK 18-12-3 6H,Patterson 579,UNKNOWN, , , ,2021-12-13,34-029-21937,40.6286316 / -80.7888412,1200, ,34,29,,
80,Northeast,HILCORP ENERGY COMPANY,OH,COLUMBIANA,12/20/2021,H,FAIRFIELD-TARKA 3H,Precision 548,OIL & GAS, ,POINT PLEASANT FORMATION, ,2021-12-16,34-029-21925,40.8324112 / -80.6782909,1200,2021-09-01,34,29,,
81,Tuscaloosa,FLETCHER PETROLEUM CORP.,AL,CONECUH,12/20/2021,H,MCMILLAN 34-7 #1,WT Drilling 18,UNKNOWN,WILDCAT,SMACKOVER, ,2021-12-15,01-035-20371,31.2689415 / -87.1466577,1000,2021-10-01,1,35,,
82,Powder River,ANSCHUTZ EXPLORATION CORPORATION,WY,CONVERSE,12/20/2021,H,KAI FED 3671-36-25-2E NH,Cyclone 39,OIL,SCOTT,NIOBRARA,"21,879 ft",2021-12-14,49-009-48643,43.0452117 / -105.3193184,1500,2021-06-25,49,9,,
83,Powder River,ANSCHUTZ OIL COMPANY LLC,WY,CONVERSE,12/20/2021,H,DOLLY FED 3671-19-31-14W NH,Cyclone 36,OIL,SCOTT,NIOBRARA,"22,156 ft",2021-12-19,49-009-31444,43.0727792 / -105.4294181,1500,2021-04-19,49,9,,
84,Powder River,ANSCHUTZ OIL COMPANY LLC,WY,CONVERSE,12/20/2021,H,REBA FED 3671-30-31-16W NH,Cyclone 33,OIL,SCOTT,NIOBRARA,"22,152 ft",2021-12-15,49-009-34195,43.0707229 / -105.4235219,1500,2021-04-19,49,9,,
85,Powder River,"ANSCHUTZ OIL COMPANY, LLC",WY,CONVERSE,12/20/2021,H,NITRO FED 3569-7-19-14 TH,Precision 564,OIL,MIKES DRAW,TURNER,"21,463 ft",2021-12-19,49-009-40614,43.0156589 / -105.1922035,1500,2021-08-20,49,9,,
86,Powder River,CHESAPEAKE OPERATING LLC,WY,CONVERSE,12/20/2021,H,CLAUSEN 25-34-70 A NB 4H,Patterson 593,OIL,WC,NIOBRARA,"21,250 ft",2021-12-05,49-009-34313,42.895891 / -105.2075268,1500,2021-09-13,49,9,,
87,Powder River,"CONTINENTAL RESROUCES, INC.",WY,CONVERSE,12/20/2021,,HARDY FED 3873-0211 1FH,H&P 385,UNKNOWN, , , ,2021-12-07,49-009-48562,43.3014565 / -105.5930328,1500, ,49,9,,
88,Powder River,DEVON ENERGY PRODUCTION COMPANY LP,WY,CONVERSE,12/20/2021,H,CWDU JRJ FED 07-063870-3XNH,Cyclone 42,OIL,WC,NIOBRARA,"19,109 ft",2021-12-11,49-009-48718,43.2792108 / -105.3161734, ,2021-08-30,49,9,,
89,Powder River,NORTHWOODS OPERATING LLC,WY,CONVERSE,12/20/2021,V,ASPEN 18E19-8NH,Nabors B03,OIL,WC,NIOBRARA,"12,206 ft",2021-12-01,49-009-48358,43.358649 / -105.9000921,1500,2021-09-21,49,9,,
90,Powder River,TRANSWORLD SYSTEMS PETROLEUM INC,WY,CONVERSE,12/20/2021,H,BU 22-30-35-67-1H,Ensign 162,OIL,PINEY CREEK,TEAPOT,"16,939 ft",2021-12-04,49-009-38967,42.9832057 / -104.9508739,1500,2021-08-13,49,9,,
91,Barnett,GUNN OIL COMPANY,TX,COTTLE,12/20/2021,V,SUSANNA UNIT 1,Steinberger 3,OIL & GAS,"PROTHRO,WILDCAT",CANYON,"9,000 ft",2021-12-10,42-101-30762,33.9838886 / -100.4511925,1000,2021-11-23,42,101,,
92,Permian - Midland,"BLACKBEARD OPERATING, LLC",TX,CRANE,12/20/2021,V,WADDELL TR A 3078,Savanna 417,OIL & GAS,SAND HILLS,"CLEAR FORK, SAN ANGELO, UPPER, TUBB, WOLFCAMP","9,000 ft",2021-12-16,42-103-36876,31.530291 / -102.6324999,650,2021-09-21,42,103,,
93,Permian - Midland,"STRONGHOLD ENERGY II OPER, LLC",TX,CRANE,12/20/2021,V,"MCKNIGHT, M.B. 0313M",Savanna 642,OIL & GAS,"ARMER,RUNNING W, N.,SAND HILLS","CLEAR FORK, HOLT, TUBB","6,000 ft",2021-12-18,42-103-36861,31.5416354 / -102.690625,750,2021-08-23,42,103,,
94,Permian - Midland,SEM OPERATING COMPANY LLC,TX,CROCKETT,12/20/2021,H,UNIVERSITY 40 2113WB,Precision 594,OIL & GAS,LIN,WOLFCAMP,"10,000 ft",2021-12-14,42-105-42507,31.0760631 / -101.1496894,1800,2021-11-09,42,105,,
95,Powder River,"MAXIMUS OPERATING, LTD",WY,CROOK,12/20/2021,V,SCHURICHT 21-10,CWC Ironhand 104,OIL,MELLOTT RANCH,MINNELUSA,"7,150 ft",2021-12-06,49-011-23417,44.5109081 / -105.0145733,764,2021-11-10,49,11,,
96,Permian - Delaware,CHEVRON U. S. A. INC.,TX,CULBERSON,12/20/2021,H,HAY BLAKE 7/6 0041WD,Nabors X53,OIL & GAS,"FORD, WEST",WOLFCAMP,"12,000 ft",2021-12-01,42-109-33776,31.9660788 / -104.1012641, ,2021-09-08,42,109,,
