,Basin_x,Operator_x,State_x,County_x,report_date_x,drill_type_x,well_x,rig,well_type_x,field_x,formation_x,permit_depth_x,spud_date_x,API_UWI_x,lat_long_x,rated_hp_x,permit_approval_date_x,state_id_x,county_id_x,Basin_y,Operator_y,State_y,County_y,report_date_y,drill_type_y,well_y,well_type_y,field_y,formation_y,permit_depth_y,spud_date_y,API_UWI_y,lat_long_y,rated_hp_y,permit_approval_date_y,state_id_y,county_id_y,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,_merge
720,,,,,,,,Murfin 3,,,,,,,,,,,,DJ Basin,"MURFIN DRILLING COMPANY, INC",NE,DUNDY,01/03/2022,V,HENRY 2-12,OIL,COMBINE,MISSISSIPPIAN,"5,200 ft",2021-12-29,26-057-21927,40.1501905 / -101.6795399,400,2021-12-16,26.0,57.0,129.0,,,,,right_only
721,,,,,,,,Nabors X32,,,,,,,,,,,,Permian - Delaware,"XTO ENERGY, INC.",NM,EDDY,01/03/2022,H,REMUDA SOUTH 25 STATE 705H,OIL,"FORTY NINER RIDGE BONE SPRING,WEST",BONE SPRING,"16,646 ft",2021-12-27,30-015-48539,32.2766039 / -103.9320712,1500,2021-06-21,30.0,15.0,179.0,,,,,right_only
722,,,,,,,,Patterson 287,,,,,,,,,,,,Anadarko,MEWBOURNE OIL COMPANY,OK,ELLIS,01/03/2022,H,MEMPHIS 5/32 PA 1H,OIL & GAS, ,CHEROKEE,"19,776 ft",2021-12-12,35-045-23845,36.0573746 / -99.7789193,1500,2021-09-16,35.0,45.0,184.0,,,,,right_only
723,,,,,,,,Cactus 170,,,,,,,,,,,,Anadarko,MARATHON OIL COMPANY,OK,GARVIN,01/03/2022,H,YOSHI 0304 2-5-32SXH,OIL & GAS, ,SPRINGER,"20,588 ft",2021-12-13,35-049-25354,34.7618134 / -97.6451349,1800,2021-11-18,35.0,49.0,204.0,,,,,right_only
724,,,,,,,,Coastal 4,,,,,,,,,,,,Gulf Coast,UNITED TEXAS OIL LLC,TX,GOLIAD,01/03/2022,H,SCOTT 3H,GAS,MCCASKILL,WILCOX L-3, ,2021-11-26,42-175-33563,28.7669998 / -97.6201122,1200,2017-07-06,42.0,175.0,218.0,,,,,right_only
725,,,,,,,,Nabors 1203,,,,,,,,,,,,Eagleford,"ROSEWOOD RESOURCES, INC.",TX,GONZALES,01/03/2022,H,WARD NORTH C 3LH,OIL,EAGLEVILLE,EAGLE FORD-1,"9,700 ft",2021-12-24,42-177-34436,29.2724488 / -97.5666767, ,2021-09-22,42.0,177.0,220.0,,,,,right_only
726,,,,,,,,VALARIS DS-18,,,,,,,,,,,,Offshore,CHEVRON U.S.A. INC.,GOM,GREEN CANYON,01/03/2022,U,G36654 001,UNKNOWN, , , ,2021-10-04,60-811-40752,27.1549289 / -90.4652957, ,2021-09-14,60.0,811.0,235.0,,,,,right_only
727,,,,,,,,WT Drilling 16,,,,,,,,,,,,Mississippi,VENTURE OIL & GAS INC,MS,GREENE,01/03/2022,V,BOE 16-11 1,GAS,AVERA,HOSSTON,"13,500 ft",2021-12-05,23-041-20171,31.3075191 / -88.8002771,1000,2021-11-18,23.0,41.0,243.0,,,,,right_only
728,,,,,,,,Petrowest 1,,,,,,,,,,,,Barnett,"DJ & T SERVICES, LLC",TX,JONES,01/03/2022,V,REEVES 1A,OIL & GAS,"JONES COUNTY REGULAR,MIGHTY QUINN,MONA BETH,POLAND","GAS, KING SAND, PALO PINTO, PALO PINTO REEF, STRAWN","4,800 ft",2021-12-17,42-253-35657,32.6268381 / -99.9908546,575,2021-11-23,42.0,253.0,291.0,,,,,right_only
729,,,,,,,,MCG Drilling 2,,,,,,,,,,,,Barnett,SOJOURNER DRILLING CORPORATION,TX,JONES,01/03/2022,V,"AMERSON, C.P. 12",OIL & GAS,"FLAT TOP JC,HAMLIN,HAMLIN, EAST,WILDCAT","STRAWN, UPPER, SWASTIKA, TANNEHILL SAND","5,300 ft",2021-12-16,42-253-35659,32.9349785 / -99.9974846,800,2021-11-03,42.0,253.0,292.0,,,,,right_only
730,,,,,,,,Ensign T137,,,,,,,,,,,,Eagleford,MURPHY EXPL. & PROD. CO. - USA,TX,KARNES,01/03/2022,H,BELLAH PATTON WILSON PSA C 3H,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"13,000 ft",2021-12-27,42-255-37122,28.9311513 / -97.8756611,1500,2021-03-23,42.0,255.0,306.0,,,,,right_only
731,,,,,,,,Precision 582,,,,,,,,,,,,Eagleford,"REPSOL OIL & GAS USA, LLC",TX,KARNES,01/03/2022,H,WESS 4-SLAUGHTER-RT (SA) C6 C 6H,OIL & GAS,SUGARKANE,"AUSTIN CHALK, EAGLE FORD","13,600 ft",2021-12-31,42-255-37278,28.859575 / -97.7550601, ,2021-09-03,42.0,255.0,307.0,,,,,right_only
732,,,,,,,,Ensign 548,,,,,,,,,,,,West Coast,MACPHERSON OIL COMPANY,CA,KERN,01/03/2022,U,USL 18 H161A,OIL,ROUND MOUNTAIN,PYRAMID HILL, ,2021-12-27,04-030-69038,35.4956986 / -118.9003276,900,2021-04-15,4.0,30.0,316.0,,,,,right_only
733,,,,,,,,Unit 411,,,,,,,,,,,,Permian - Delaware,CIMAREX ENERGY CO. OF COLORADO,NM,LEA,01/03/2022,H,RED HILLS UNIT 99H,GAS,WC,UPPER WOLFCAMP,"22,106 ft",2021-12-20,30-025-49108,32.0931078 / -103.5759451,1500,2021-06-25,30.0,25.0,345.0,,,,,right_only
734,,,,,,,,H&P 489,,,,,,,,,,,,Permian - Delaware,EOG RESOURCES INC,NM,LEA,01/03/2022,H,YUKON 20 FED COM 304H,OIL,NORTH RED HILLS,BONE SPRING,"22,368 ft",2021-12-31,30-025-47111,32.2089315 / -103.4912751,1500,2020-04-24,30.0,25.0,354.0,,,,,right_only
735,,,,,,,,H&P 518,,,,,,,,,,,,Permian - Delaware,FRANKLIN MOUNTAIN ENERGY LLC,NM,LEA,01/03/2022,H,TRINITY FEDERAL 602H,OIL,WC,BONE SPRING,"21,938 ft",2021-12-19,30-025-48580,32.1104913 / -103.3217484,1500,2021-03-30,30.0,25.0,367.0,,,,,right_only
736,,,,,,,,LAUSON 5,,,,,,,,,,,,Eagleford,"HURD ENTERPRISES, LTD.",TX,LIVE OAK,01/03/2022,V,PEDIGO ETAL GU 1,OIL & GAS,"HARRIS,KENDALL,LIMES,OAKVILLE,WILDCAT","TARA, WILCOX, WILCOX CONS., WILCOX-, WILCOX-MASSIVE","10,500 ft",2021-12-07,42-297-36180,28.3575881 / -98.1227038, ,2021-11-23,42.0,297.0,390.0,,,,,right_only
737,,,,,,,,Ensign 551,,,,,,,,,,,,West Coast,SOUTHERN CALIFORNIA GAS COMPANY,CA,LOS ANGELES,01/03/2022,U,WEZU 18 E,STORAGE,HONOR RANCHO,WAYSIDE 13, ,2021-09-28,04-037-30575,34.4514314 / -118.5920053, ,2020-09-15,4.0,37.0,391.0,,,,,right_only
738,,,,,,,,LE Jones 7,,,,,,,,,,,,Anadarko,JONES L E OPERATING INC,OK,LOVE,01/03/2022,V,NORTH LEON UNIT 12-4,OIL & GAS, ,TAYLOR /DEESE/ S OKLA/,"7,500 ft",2021-12-22,35-085-21328,33.9130229 / -97.4215473,1000,2021-07-15,35.0,85.0,392.0,,,,,right_only
739,,,,,,,,Energy 6,,,,,,,,,,,,Gulf Coast,"ARALUEN ENERGY, INC.",TX,MATAGORDA,01/03/2022,V,ARALUEN B 01,OIL & GAS,MARKHAM, ,"6,500 ft",2021-12-09,42-321-32435,29.0078526 / -96.1648231,750,2020-10-12,42.0,321.0,450.0,,,,,right_only
740,,,,,,,,LAUSON 2,,,,,,,,,,,,Gulf Coast,BLUEFIN RESOURCES LLC,TX,MATAGORDA,01/03/2022,V,SAVAGE S 3,OIL & GAS,WADSWORTH,"CH-1, EVERSORE HAZZARDI","9,600 ft",2021-12-19,42-321-32442,28.8839443 / -95.9120804,750,2021-10-05,42.0,321.0,451.0,,,,,right_only
741,,,,,,,,Pinnergy 4,,,,,,,,,,,,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,01/03/2022,H,SHACKELFORD SPRABERRY UNIT 3904H,OIL & GAS,SPRABERRY,TREND AREA,"8,685 ft",2021-12-29,42-329-44541,31.794027 / -101.8963415, ,2020-12-04,42.0,329.0,480.0,,,,,right_only
742,,,,,,,,Patterson 251,,,,,,,,,,,,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,01/03/2022,H,PRESTON 9I 109H,OIL & GAS,SPRABERRY,TREND AREA,"10,499 ft",2021-12-24,42-329-45119,31.7743839 / -101.8212898,1500,2021-09-21,42.0,329.0,482.0,,,,,right_only
743,,,,,,,,Pinnergy 3,,,,,,,,,,,,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,01/03/2022,H,SHACKELFORD 41G 7H,OIL & GAS,SPRABERRY,TREND AREA,"9,250 ft",2021-12-29,42-329-45196,31.825046 / -101.8521049,760,2021-10-28,42.0,329.0,486.0,,,,,right_only
744,,,,,,,,TO Deepwater Pontus,,,,,,,,,,,,Offshore,SHELL OFFSHORE INC.,GOM,MISSISSIPPI CANYON,01/03/2022,V,KE001  ,OIL & GAS,MARS-URSA, ,"40,000 ft",2021-11-01,60-817-41395,28.1941805 / -89.1767796, ,2021-10-13,60.0,817.0,500.0,,,,,right_only
745,,,,,,,,Patterson 586,,,,,,,,,,,,Haynesville,INDIGO MINERALS LLC,LA,NATCHITOCHES,01/03/2022,H,ANDER 22&15-11-10 HC 003,UNKNOWN,GROGAN, ,"25,000 ft",2021-12-14,17-069-20507,31.9217557 / -93.378843,1500,2021-07-21,17.0,69.0,512.0,,,,,right_only
746,,,,,,,,AKITA 516,,,,,,,,,,,,Permian - Midland,"RP OPERATING, L.L.C.",TX,REAGAN,01/03/2022,H,PAPAYA B 199-178 LB 2H,OIL & GAS,SPRABERRY,TREND AREA,"10,000 ft",2021-12-19,42-383-41048,31.2050902 / -101.3891849,1500,2021-09-23,42.0,383.0,541.0,,,,,right_only
747,,,,,,,,Patterson 282,,,,,,,,,,,,Permian - Delaware,"BTA OIL PRODUCERS, LLC",TX,REEVES,01/03/2022,H,LOG JAM 22111 19 7H,OIL & GAS,PHANTOM,WOLFCAMP,"11,475 ft",2021-12-21,42-389-39562,31.697038 / -103.6964542,1500,2021-09-01,42.0,389.0,555.0,,,,,right_only
748,,,,,,,,H&P 296,,,,,,,,,,,,Permian - Delaware,"CENTENNIAL RESOURCE PROD, LLC",TX,REEVES,01/03/2022,H,POWDERED DONUT STATE H C 41H,OIL & GAS,PHANTOM,WOLFCAMP,"10,800 ft",2021-12-27,42-389-39668,31.4413945 / -103.6201896,1500,2021-11-03,42.0,389.0,556.0,,,,,right_only
749,,,,,,,,Ensign 775,,,,,,,,,,,,Permian - Delaware,"RIO OIL AND GAS (PERMIAN) II,LLC",TX,REEVES,01/03/2022,H,HARRISON STATE UNIT 12-24-16 1H,OIL & GAS,SANDBAR,BONE SPRING,"23,000 ft",2021-11-09,42-389-39654,31.6390285 / -103.7549229,1500,2021-10-27,42.0,389.0,568.0,,,,,right_only
750,,,,,,,,Aztec 1000,,,,,,,,,,,,San Juan,"EOG RESOURCES, INC.",NM,SANDOVAL,01/03/2022,H,FORD UNIT 203H,OIL,WC 21N4W6,GALLUP,"10,617 ft",2021-12-12,30-043-21354,36.0736471 / -107.3040827,1500,2020-12-28,30.0,43.0,589.0,,,,,right_only
751,,,,,,,,Duke 9,,,,,,,,,,,,Anadarko,"AMERICAN WARRIOR, INC.",KS,SEWARD,01/03/2022,V,DAVIES 1-30,OIL,UNNAMED,ST. LOUIS,"6,000 ft",2021-12-19,15-175-22280,37.0632489 / -100.7278915,375,2021-12-15,15.0,175.0,594.0,,,,,right_only
752,,,,,,,,Ensign T129,,,,,,,,,,,,Barnett,"TEP BARNETT USA, LLC",TX,TARRANT,01/03/2022,H,DIAMOND BIRDVILLE HILLS MIPA 4H,OIL & GAS,"NEWARK, EAST",BARNETT SHALE,"9,000 ft",2021-12-28,42-439-37200,32.813134 / -97.2503777,1500,2020-08-04,42.0,439.0,609.0,,,,,right_only
753,,,,,,,,Reliance 2,,,,,,,,,,,,Haynesville,"FONTAINEBLEAU OPERATING, LLC",LA,UNION,01/03/2022,V,CV DAVIS RA SUWW;RCLK 34 001,GAS,UNIONVILLE,COTTON VALLEY DABIS ZONE,"9,000 ft",2021-12-04,17-111-25646,32.6843015 / -92.4613947,700,2021-10-06,17.0,111.0,621.0,,,,,right_only
754,,,,,,,,Nabors B15,,,,,,,,,,,,Tuscaloosa,CONTINENTAL RESOURCES INC.,LA,VERNON,01/03/2022,H,AUS C RA SUB;LABOKAY 20-17 H 001,UNKNOWN,"HADDENS, NORTH",AUSTIN CHALK,"20,318 ft",2021-12-01,17-115-20238,31.2189834 / -93.5147562,1500,2021-11-12,17.0,115.0,635.0,,,,,right_only
755,,,,,,,,Price 2,,,,,,,,,,,,Gulf Coast,BIG LAKE CORPORATION,TX,VICTORIA,01/03/2022,V,SANDHOP 4,OIL & GAS,"WILDCAT,WITTE,WITTE, N.","FRIO, LF, LF-, LF- 1, LF-9, LF-9, FLT. SEG NORTH","6,150 ft",2021-12-19,42-469-34479,28.8677439 / -96.7336294,550,2021-12-07,42.0,469.0,636.0,,,,,right_only
756,,,,,,,,Pacific Khamsin,,,,,,,,,,,,Offshore,MURPHY EXPLORATION & PRODUCTION COMPANY,GOM,WALKER RIDGE,01/03/2022,,OCS-G 16965 2 ST 1,UNKNOWN, , , ,2021-11-30,60-812-40016,26.7432003 / -90.4934006, , ,60.0,812.0,640.0,,,,,right_only
757,,,,,,,,Patterson 222,,,,,,,,,,,,Eagleford,"SILVERBOW RESOURCES OPER, LLC",TX,WEBB,01/03/2022,H,LA MESA RANCH 201H,GAS,HAWKVILLE,AUSTIN CHALK,"11,000 ft",2021-12-21,42-479-44533,27.8581386 / -99.748857,1500,2021-11-05,42.0,479.0,664.0,,,,,right_only
758,,,,,,,,Advanced Energy 4,,,,,,,,,,,,Bakken,"CONTINENTAL RESOURCES, INC.",ND,WILLIAMS,01/03/2022,H,LCU RECKITT 10-22H1X,UNKNOWN,LONG CREEK, , ,2021-12-24,33-105-05687,48.0577751 / -103.3997309,400,2021-11-17,33.0,105.0,688.0,,,,,right_only
759,,,,,,,,Nabors X27,,,,,,,,,,,,Bakken,"HESS BAKKEN INVESTMENTS II, LLC",ND,WILLIAMS,01/03/2022,H,BL-S RAMBERG- 155-95-0601H-6,OIL & GAS,BEAVER LODGE,DEVONIAN,"20,142 ft",2021-12-19,33-105-05236,48.274006 / -102.9379911,1500,2019-06-26,33.0,105.0,690.0,,,,,right_only
