,Basin_x,Operator_x,State_x,County_x,report_date_x,drill_type_x,well_x,rig,well_type_x,field_x,formation_x,permit_depth_x,spud_date_x,API_UWI_x,lat_long_x,rated_hp_x,permit_approval_date_x,state_id_x,county_id_x,Basin_y,Operator_y,State_y,County_y,report_date_y,drill_type_y,well_y,well_type_y,field_y,formation_y,permit_depth_y,spud_date_y,API_UWI_y,lat_long_y,rated_hp_y,permit_approval_date_y,state_id_y,county_id_y,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,_merge
714,,,,,,,,Southwind 8,,,,,,,,,,,,Sedgwick,"CARMEN SCHMITT, INC.",KS,ELLSWORTH,12/27/2021,V,ROLFS #2,OIL,GREGORY,ARBUCKLE,"3,350 ft",2021-12-14,15-053-21378,38.6181165 / -98.2695562,550,2021-12-01,15.0,53.0,185.0,,,,right_only
715,,,,,,,,Duke 5,,,,,,,,,,,,DJ Basin,"MULL DRILLING COMPANY, INC.",KS,GOVE,12/27/2021,V,CURTIS E 1-30,OIL,UNNAMED,MISSISSIPPIAN,"4,600 ft",2021-12-14,15-063-22393,38.7269991 / -100.2513937,600,2021-11-16,15.0,63.0,221.0,,,,right_only
716,,,,,,,,Norton 1,,,,,,,,,,,,Permian - Midland,"ROGERS, S. K. OIL, INC.",TX,HOCKLEY,12/27/2021,V,"MCCORKLE, EULA ESTATE 5W",INJECTION,HAMILTON,CLEARFORK,"7,000 ft",2021-12-23,42-219-37497,33.5313329 / -102.339401,900,2021-09-10,42.0,219.0,258.0,,,,right_only
717,,,,,,,,LLP Lindemann 3,,,,,,,,,,,,Barnett,"HW OPERATING, LLC",TX,JACK,12/27/2021,V,R. W. RIDER 6,OIL & GAS,"BARTONS CHAPEL, S.,JACK COUNTY REGULAR,NORTHRIDGE","ATOKA CONGL., GAS, STRAWN","5,000 ft",2021-12-15,42-237-40601,33.0324164 / -98.2216966,450,2021-12-13,42.0,237.0,283.0,,,,right_only
718,,,,,,,,Patterson 578,,,,,,,,,,,,Northeast,ASCENT RESOURCES UTICA LLC,OH,JEFFERSON,12/27/2021,,SATORI N WEL JF 1H,UNKNOWN, , , ,2021-12-18,34-081-20931,40.2601891 / -80.7343063,1200, ,34.0,81.0,287.0,,,,right_only
719,,,,,,,,AKITA 518,,,,,,,,,,,,DJ Basin,LONGS PEAK RESOURCES LLC,WY,LARAMIE,12/27/2021,H,BILLY 3526-14CH,OIL,WC,CODELL SAND,"18,382 ft",2021-12-16,49-021-28744,41.2172796 / -104.5202967,1500,2021-09-10,49.0,21.0,326.0,,,,right_only
720,,,,,,,,Energy 1,,,,,,,,,,,,Eagleford,"FORZA OPERATING, LLC",TX,LAVACA,12/27/2021,V,VICK 1,OIL & GAS,"SPEAKS, SW.,WILDCAT","WILCOX -A-, WILCOX -E-, YEGUA","9,600 ft",2021-12-09,42-285-34203,29.2493982 / -96.795429,750,2021-11-01,42.0,285.0,328.0,,,,right_only
721,,,,,,,,Patterson 809,,,,,,,,,,,,Permian - Delaware,MEWBOURNE OIL CO,NM,LEA,12/27/2021,H,RED HILLS WEST 22 W0BO FED COM 4H,GAS,WC,UPPER WOLFCAMP,"16,975 ft",2021-12-05,30-025-49214,32.0351785 / -103.6642655,1500,2021-07-21,30.0,25.0,373.0,,,,right_only
722,,,,,,,,Stoneham 5,,,,,,,,,,,,Permian - Delaware,"MILESTONE ENVIRONMENTAL SERVICES, LLC",NM,LEA,12/27/2021,V,BEAZA SWD 1,DISPOSAL,SWD,BELL CANYON-CHERRY CANYON,"7,240 ft",2021-12-16,30-025-49600,32.18893 / -103.4156697,850,2021-11-29,30.0,25.0,374.0,,,,right_only
723,,,,,,,,Ensign 549,,,,,,,,,,,,West Coast,BRIDGE ENERGY LLC,CA,LOS ANGELES,12/27/2021,U,PUENTE C-36,OIL,BREA-OLINDA,BREA-OLINDA, ,2021-12-17,04-037-30558,33.9502016 / -117.9206252,900,2021-10-19,4.0,37.0,393.0,,,,right_only
724,,,,,,,,Pinnergy 1,,,,,,,,,,,,Permian - Midland,"BLACK SWAN OPERATING, LLC",TX,MARTIN,12/27/2021,H,GOOCHER 254 A 5WB,OIL & GAS,SPRABERRY,TREND AREA,"13,000 ft",2021-12-21,42-317-43986,32.4395568 / -102.0367483,760,2021-11-23,42.0,317.0,427.0,,,,right_only
725,,,,,,,,Quest 208,,,,,,,,,,,,Anadarko,SCOUT ENERGY MANAGEMENT LLC,TX,MOORE,12/27/2021,V,"COON, R. S. 230A",GAS,"PANHANDLE, WEST", ,"4,000 ft",2021-12-19,42-341-33624,35.8479983 / -101.9165214,400,2021-08-27,42.0,341.0,505.0,,,,right_only
726,,,,,,,,Patterson 591,,,,,,,,,,,,Haynesville,INDIGO MINERALS LLC,LA,NATCHITOCHES,12/27/2021,H,WM 27&22&15-11-10 HC 002,UNKNOWN,GROGAN, ,"25,000 ft",2021-11-16,17-069-20502,31.9149085 / -93.3827418,1500,2021-07-21,17.0,69.0,514.0,,,,right_only
727,,,,,,,,Energy 14,,,,,,,,,,,,Gulf Coast,"VANTAGE OPERATING, LLC",TX,ORANGE,12/27/2021,D,MOONSHINE 1,OIL & GAS,WILDCAT, ,"9,950 ft",2021-11-02,42-361-30991,30.0992456 / -93.7938234,1200,2021-09-29,42.0,361.0,520.0,,,,right_only
728,,,,,,,,Precision 592,,,,,,,,,,,,Permian - Delaware,"UPCURVE ENERGY, LLC",TX,REEVES,12/27/2021,H,PASSMORE-JOHNSON STATE 1H,OIL & GAS,PHANTOM,WOLFCAMP,"12,000 ft",2021-11-27,42-389-39686,31.2906607 / -103.6847171,1800,2021-11-15,42.0,389.0,572.0,,,,right_only
729,,,,,,,,BLUE DELTA 5,,,,,,,,,,,,Barnett,"BLUFF CREEK PETROLEUM, LLC",TX,SHACKELFORD,12/27/2021,V,NAIL '131' 1,OIL & GAS,"NAIL TRACT 20,SHACKELFORD COUNTY REGULAR",COOK SAND,"1,999 ft",2021-12-18,42-417-39623,32.9225667 / -99.4418236,1000,2017-08-18,42.0,417.0,597.0,,,,right_only
730,,,,,,,,Charger 101,,,,,,,,,,,,Permian - Midland,TRP OPERATING LLC,TX,UPTON,12/27/2021,H,MAGNETO G 1003HA,OIL & GAS,SPRABERRY,TREND AREA,"8,583 ft",2021-12-09,42-461-41920,31.3202765 / -101.9555222,760,2021-10-14,42.0,461.0,635.0,,,,right_only
731,,,,,,,,D&D 14,,,,,,,,,,,,Gulf Coast,DUNN EXPLORATION COMPANY,LA,VERMILION,12/27/2021,H,MARAIST FARMS I LLC ETAL 005,UNKNOWN,KAPLAN, ,"12,500 ft",2021-12-03,17-113-22557,29.9908356 / -92.2987901,750,2021-10-20,17.0,113.0,636.0,,,,right_only
732,,,,,,,,Unit 407,,,,,,,,,,,,Permian - Delaware,OASIS PETROLEUM PERMIAN LLC,TX,WARD,12/27/2021,H,UL JEFF EAST B 17-27-5 WB 2H,OIL & GAS,PHANTOM,WOLFCAMP,"12,500 ft",2021-12-13,42-475-38138,31.5962582 / -103.2419052,1500, ,42.0,475.0,653.0,,,,right_only
733,,,,,,,,H&P 247,,,,,,,,,,,,Eagleford,"EOG RESOURCES, INC.",TX,WEBB,12/27/2021,H,LUNA PSA 101H,GAS,HAWKVILLE,EAGLEFORD SHALE,"13,400 ft",2021-12-21,42-479-44514,28.0192997 / -99.3389475,1500,2021-11-12,42.0,479.0,664.0,,,,right_only
734,,,,,,,,H&P 526,,,,,,,,,,,,Eagleford,"RIO GRANDE E&P, LLC",TX,WEBB,12/27/2021,H,STATE OF TEXAS RAFTER O UNIT A 1H,GAS,HAWKVILLE,EAGLEFORD SHALE,"14,000 ft",2021-12-07,42-479-44499,29.6228193 / -97.9782201,1500,2021-10-06,42.0,479.0,669.0,,,,right_only
735,,,,,,,,Patterson 345,,,,,,,,,,,,DJ Basin,BONANZA CREEK ENERGY OPERATING COMPANY LLC,CO,WELD,12/27/2021,H,STATE PRONGHORN FEDERAL K-O-31HNB,OIL,WATTENBERG,NIOBRARA,"12,037 ft",2021-12-21,05-123-51320,40.37009 / -104.259203,1500,2020-11-10,5.0,123.0,674.0,,,,right_only
736,,,,,,,,AKITA 522,,,,,,,,,,,,DJ Basin,MALLARD EXPLORATION LLC,CO,WELD,12/27/2021,H,GREEN TEAL FED 34-27-5HN,OIL,WILDCAT,NIOBRARA,"16,947 ft",2021-12-20,05-123-46179,40.612877 / -104.081042,1500,2020-06-11,5.0,123.0,677.0,,,,right_only
737,,,,,,,,SWN Drilling 41,,,,,,,,,,,,Northeast,"SWN PRODUCTION COMPANY, LLC",WV,WETZEL,12/27/2021,H,SWN A WTZ 1H  ,GAS, ,MARCELLUS SHALE, ,2021-12-16,47-103-03421,39.6826557 / -80.6396137,1500,2021-07-12,47.0,103.0,686.0,,,,right_only
738,,,,,,,,SWN Drilling 41,,,,,,,,,,,,Northeast,"SWN PRODUCTION COMPANY, LLC",WV,WETZEL,12/27/2021,H,SWN A WTZ 1H  ,GAS, ,MARCELLUS SHALE, ,2021-12-16,47-103-03421,39.6826557 / -80.6396137,1500,2021-07-12,47.0,103.0,687.0,,,,right_only
739,,,,,,,,Latshaw 14,,,,,,,,,,,,Barnett,SAGE NATURAL RESOURCES LLC,TX,WISE,12/27/2021,V,GAGE 3,INJECTION,"NEWARK, EAST",BARNETT SHALE,"12,500 ft",2021-12-10,42-497-38039,33.3810219 / -97.4359046,1000,2021-09-21,42.0,497.0,706.0,,,,right_only
