,Basin_x,Operator_x,State_x,County_x,report_date_x,drill_type_x,well_x,rig,well_type_x,field_x,formation_x,permit_depth_x,spud_date_x,API_UWI_x,lat_long_x,rated_hp_x,permit_approval_date_x,state_id_x,county_id_x,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Basin_y,Operator_y,State_y,County_y,report_date_y,drill_type_y,well_y,well_type_y,field_y,formation_y,permit_depth_y,spud_date_y,API_UWI_y,lat_long_y,rated_hp_y,permit_approval_date_y,state_id_y,county_id_y,_merge
736,,,,,,,,Precision 561,,,,,,,,,,,,,,,Haynesville,AETHON ENERGY OPERATING L,LA,NATCHITOCHES,12/27/2021,H,HA RA SUN;ROWELL 16-21 HC 001,GAS,ASHLAND,HAYNESVILLE,"23,144 ft",2021-12-21,17-069-20509,32.1109838 / -93.0885193,1500,2021-12-06,17.0,69.0,right_only
737,,,,,,,,H&P 532,,,,,,,,,,,,,,,Permian - Delaware,XTO ENERGY INC.,TX,PECOS,12/27/2021,H,SILVER 48-20-29 WA1 701H,OIL,HOEFS T-K,WOLFCAMP,"10,600 ft",2021-12-20,42-371-40350,31.8872927 / -102.275101,1500,2021-11-19,42.0,371.0,right_only
738,,,,,,,,Ensign 786,,,,,,,,,,,,,,,Permian - Midland,"HIBERNIA RESOURCES III, LLC",TX,REAGAN,12/27/2021,H,MARY ROSE H 8H,OIL & GAS,SPRABERRY,TREND AREA,"9,000 ft",2021-12-20,42-383-41061,31.3452226 / -101.7747366,1500,2021-11-18,42.0,383.0,right_only
739,,,,,,,,Basin 105,,,,,,,,,,,,,,,Haynesville,TELLURIAN OPERATING LLC,LA,RED RIVER,12/27/2021,H,HA RB SU90;NRG 29-12-10 H 004-ALT,GAS,RED RIVER-BULL BAYOU,HAYNESVILLE,"17,841 ft",2021-12-22,17-081-21744,31.9915848 / -93.4210959,1500,2021-11-10,17.0,81.0,right_only
740,,,,,,,,Independence 230,,,,,,,,,,,,,,,Eagleford,IRONROC ENERGY,TX,ROBERTSON,12/27/2021,H,ROWLF 1H,OIL,GIDDINGS,AUSTIN CHALK-3,"7,000 ft",2021-12-21,42-395-32066,30.861243 / -96.6422402, ,2021-12-13,42.0,395.0,right_only
741,,,,,,,,Big E 1,,,,,,,,,,,,,,,Austin Chalk,WALTER OIL & GAS CORPORATION,TX,TYLER,12/27/2021,H,BSM/KIRBY A-3 1H,OIL & GAS,BROOKELAND,AUSTIN CHALK,"15,000 ft",2021-12-22,42-457-30910,30.8831394 / -94.5550434,1500,2021-12-16,42.0,457.0,right_only
742,,,,,,,,Murfin 112,,,,,,,,,,,,,,,Anadarko,"STELBAR OIL CORPORATION, INC.",KS,WALLACE,12/27/2021,V,WILLOWAY FARMS 1-21,OIL,UNNAMED,MORROW,"5,200 ft",2021-12-18,15-199-20455,38.8183931 / -101.8760225,750,2021-11-23,15.0,199.0,right_only
743,,,,,,,,H&P 526,,,,,,,,,,,,,,,Eagleford,"RIO GRANDE E&P, LLC",TX,WEBB,12/27/2021,H,STATE OF TEXAS RAFTER O UNIT A 1H,GAS,HAWKVILLE,EAGLEFORD SHALE,"14,000 ft",2021-12-07,42-479-44499,29.6228193 / -97.9782201,1500,2021-10-06,42.0,479.0,right_only
744,,,,,,,,Nabors X37,,,,,,,,,,,,,,,Eagleford,SILVER HILL ENERGY OPERATING LLC,TX,WEBB,12/27/2021,H,STATE EDITH UNIT 2H,GAS,HAWKVILLE,EAGLEFORD SHALE,"13,750 ft",2021-12-18,42-479-44492,27.8772428 / -99.31454,1500,2021-09-03,42.0,479.0,right_only
745,,,,,,,,Patterson 222,,,,,,,,,,,,,,,Eagleford,"SILVERBOW RESOURCES OPER, LLC",TX,WEBB,12/27/2021,H,LA MESA RANCH 201H,GAS,HAWKVILLE,AUSTIN CHALK,"11,000 ft",2021-12-21,42-479-44533,27.8581386 / -99.748857,1500,2021-11-05,42.0,479.0,right_only
746,,,,,,,,HILCORP DRILLING Timbalier,,,,,,,,,,,,,,,Offshore,HILCORP ENERGY COMPANY,LA,WEST DELTA OFFSHORE,12/27/2021,H,STEVE D'ASARO ETAL 002,UNKNOWN,WEST DELTA BLOCK 83, ,"10,887 ft",2021-12-01,17-719-20395,28.9910007 / -89.3546788,3000,2021-10-01,17.0,719.0,right_only
