,Basin_x,Operator_x,State_x,County_x,report_date_x,drill_type_x,well_x,rig,well_type_x,field_x,formation_x,permit_depth_x,spud_date_x,API_UWI_x,lat_long_x,rated_hp_x,permit_approval_date_x,state_id_x,county_id_x,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Basin_y,Operator_y,State_y,County_y,report_date_y,drill_type_y,well_y,well_type_y,field_y,formation_y,permit_depth_y,spud_date_y,API_UWI_y,lat_long_y,rated_hp_y,permit_approval_date_y,state_id_y,county_id_y,_merge
725,,,,,,,,United Energy 1,,,,,,,,,,,,,,,,Anadarko,BNK PETROLEUM (US) INC,OK,JOHNSTON,01/03/2022,H,BARNES 7-3H,OIL & GAS, ,CANEY,"15,266 ft",2022-01-01,35-069-20195,34.2305232 / -96.9256997,1000,2021-12-09,35.0,69.0,right_only
726,,,,,,,,Patterson 273,,,,,,,,,,,,,,,,Eagleford,VERDUN OIL & GAS LLC,TX,KARNES,01/03/2022,H,TRENCH FOOT UNIT G 7H,OIL & GAS,EAGLEVILLE,EAGLE FORD-2,"11,500 ft",2021-12-25,42-255-37369,28.8265933 / -98.0974975,1500,2021-12-20,42.0,255.0,right_only
727,,,,,,,,LE Jones 7,,,,,,,,,,,,,,,,Anadarko,JONES L E OPERATING INC,OK,LOVE,01/03/2022,V,NORTH LEON UNIT 12-4,OIL & GAS, ,TAYLOR /DEESE/ S OKLA/,"7,500 ft",2021-12-22,35-085-21328,33.9130229 / -97.4215473,1000,2021-07-15,35.0,85.0,right_only
728,,,,,,,,Patterson 292,,,,,,,,,,,,,,,,Northeast,EQT ARO LLC,PA,LYCOMING,01/03/2022,H,SALT RUN HC EXT A-1H,GAS,MARCELLUS SHALE,MARCELLUS SHALE, ,2021-12-26,37-081-21897,41.4697382 / -76.8682518,1500,2021-11-01,37.0,81.0,right_only
729,,,,,,,,Pinnergy 3,,,,,,,,,,,,,,,,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,01/03/2022,H,SHACKELFORD 41G 7H,OIL & GAS,SPRABERRY,TREND AREA,"9,250 ft",2021-12-29,42-329-45196,31.825046 / -101.8521049,760,2021-10-28,42.0,329.0,right_only
730,,,,,,,,Patterson 252,,,,,,,,,,,,,,,,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,01/03/2022,H,HARRIS 17-20I 9H,OIL & GAS,SPRABERRY,TREND AREA,"10,589 ft",2021-12-23,42-329-45233,31.655774 / -101.801591,1500,2021-11-08,42.0,329.0,right_only
731,,,,,,,,Patterson 589,,,,,,,,,,,,,,,,Anadarko,MEWBOURNE OIL COMPANY,TX,OCHILTREE,01/03/2022,H,COURSON PARNELL 405 C001PA,OIL & GAS,PAN PETRO,CLEVELAND,"7,673 ft",2021-12-26,42-357-33733,36.1724844 / -100.6420438,1500,2021-11-29,42.0,357.0,right_only
732,,,,,,,,George Mitchell 9,,,,,,,,,,,,,,,,,"KWR VENTURES, LLC",,PERRY,01/03/2022,,HEIMAN 1,UNKNOWN, , , ,2021-12-30, ,38.0831375 / -89.2422256,600, ,0.0,0.0,right_only
733,,,,,,,,H&P 509,,,,,,,,,,,,,,,,Permian - Delaware,"COLGATE OPERATING, LLC",TX,REEVES,01/03/2022,H,MOSES MIPA UNIT 221H,OIL & GAS,PHANTOM,WOLFCAMP,"11,500 ft",2021-12-22,42-389-39640,31.4244362 / -103.5134106,1500,2021-10-08,42.0,389.0,right_only
734,,,,,,,,MKS 122,,,,,,,,,,,,,,,,Haynesville,"MAXIMUS OPERATING, LTD.",TX,SHELBY,01/03/2022,V,HUGHES 1,OIL & GAS,"ANGIE,,CENTER, WEST,TENAHA, SW.,TIMPSON, N.","PETTET, PETTIT, TRAVIS PEAK","8,500 ft",2021-12-31,42-419-31825,31.7642973 / -94.2154917, ,2021-12-10,42.0,419.0,right_only
735,,,,,,,,Ensign 162,,,,,,,,,,,,,,,,Green River,ULTRA RESOURCES INC,WY,SUBLETTE,01/03/2022,,RIVERSIDE 7D2-12D,UNKNOWN, , , ,2021-12-28,49-035-27832,42.6757622 / -109.7844315,1500, ,49.0,35.0,right_only
736,,,,,,,,McVay 2,,,,,,,,,,,,,,,,Permian - Midland,TRP OPERATING LLC,TX,UPTON,01/03/2022,H,MAGNETO J 1011HU,OIL & GAS,SPRABERRY,TREND AREA,"8,806 ft",2021-12-21,42-461-41971,31.3189131 / -101.9580951,1500,2021-11-29,42.0,461.0,right_only
737,,,,,,,,Precision 464,,,,,,,,,,,,,,,,DJ Basin,VERDAD RESOURCES LLC,CO,WELD,01/03/2022,H,COUNTY LINE 3107-08H,OIL,WATTENBERG,CODELL,"17,227 ft",2021-12-27,05-123-51173,40.0015693 / -104.7043525, ,2020-08-19,5.0,123.0,right_only
738,,,,,,,,Patterson 280,,,,,,,,,,,,,,,,Bakken,MUREX PETROLEUM CORPORATION,ND,WILLIAMS,01/03/2022,V,SHELDON MARK 34-22H-A #2MB,UNKNOWN,TIOGA, , ,2021-12-30,33-105-05677,48.4655691 / -102.9314675,1500,2021-10-05,33.0,105.0,right_only
739,,,,,,,,Nicklos 1,,,,,,,,,,,,,,,,Haynesville,"STRAND ENERGY, L.C.",TX,WOOD,01/03/2022,D,MATTHEWS-RAY 2,OIL & GAS,"CROW,WILDCAT",PALUXY,"9,900 ft",2021-12-31,42-499-32196,32.6058513 / -95.3124873,750,2021-12-20,42.0,499.0,right_only
