,Basin_x,Operator_x,State_x,County_x,report_date_x,drill_type_x,well_x,rig,well_type_x,field_x,formation_x,permit_depth_x,spud_date_x,API_UWI_x,lat_long_x,rated_hp_x,permit_approval_date_x,state_id_x,county_id_x,Basin_y,Operator_y,State_y,County_y,report_date_y,drill_type_y,well_y,well_type_y,field_y,formation_y,permit_depth_y,spud_date_y,API_UWI_y,lat_long_y,rated_hp_y,permit_approval_date_y,state_id_y,county_id_y,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,_merge
724,,,,,,,,WEBSTER 3,,,,,,,,,,,,,"BI-PETRO, INC",,HAMILTON,12/20/2021,,NORTH RURAL HILL UNIT 4-B,UNKNOWN, , , ,2021-12-10, ,38.0383377 / -88.5765305,450, ,0.0,0.0,253.0,,,right_only
725,,,,,,,,Sewell 4,,,,,,,,,,,,Gulf Coast,"WHITEHEAD RESOURCES, LTD.",TX,HARDIN,12/20/2021,V,ARRIOLA FEE 187,OIL & GAS,ARRIOLA*, ,"3,800 ft",2021-12-07,42-199-33634,30.2346968 / -94.2478774, ,2021-10-20,42.0,199.0,254.0,,,right_only
726,,,,,,,,Patterson 584,,,,,,,,,,,,Northeast,ASCENT RESOURCES UTICA LLC,OH,HARRISON,12/20/2021,H,CRICKET W SHC HR 1H,OIL & GAS, ,"UTICA SHALE, POINT PLEASANT FORMATION", ,2021-12-10,34-067-24500,40.22148 / -80.880738,1500,2021-10-15,34.0,67.0,256.0,,,right_only
727,,,,,,,,MKS 103,,,,,,,,,,,,Austin Chalk,"MUD CREEK OPERATING, LLC",TX,HOUSTON,12/20/2021,V,LORNA HYATT 1,OIL,WILDCAT, ,"2,000 ft",2021-12-16,42-225-31422,31.5431889 / -95.3929056, ,2021-12-08,42.0,225.0,270.0,,,right_only
728,,,,,,,,Ensign 536,,,,,,,,,,,,West Coast,"CALIFORNIA RESOURCES ELK HILLS, LLC",CA,KERN,12/20/2021,U,UNSPECIFIED 24H-28S,OIL,ELK HILLS,UPPER (UNDIFFERENTIATED), ,2021-12-11,04-030-68547,35.2660848 / -119.3492031,900,2020-06-05,4.0,30.0,321.0,,,right_only
729,,,,,,,,Fossil 3,,,,,,,,,,,,Sedgwick,"STEFFEN RESOURCE DEVELOPMENT, LLC",KS,KINGMAN,12/20/2021,V,JESSICA 4-21,OIL & GAS,SPIVEY-GRABS-BASIL,MISSISSIPPIAN,"4,300 ft",2021-12-03,15-095-22343,37.4409474 / -98.1291722,750,2021-10-26,15.0,95.0,330.0,,,right_only
730,,,,,,,,Duke 7,,,,,,,,,,,,Sedgwick,VINCENT OIL CORPORATION,KS,KINGMAN,12/20/2021,V,MALONEY 1-15,GAS,WILDCAT,"LKC, MISSISSIPPIAN, SIMPSON, VIOLA","4,480 ft",2021-12-08,15-095-22324,37.6065536 / -98.1861117,450,2018-06-20,15.0,95.0,331.0,,,right_only
731,,,,,,,,SWN Drilling 40,,,,,,,,,,,,Northeast,"SWN PRODUCTION COMPANY, LLC",WV,MARSHALL,12/20/2021,H,BETTY SCHAFER MSH 405H  ,UNKNOWN, ,MARCELLUS SHALE, ,2021-12-01,47-051-02383,39.9908356 / -80.6353731,1500,2021-05-13,47.0,51.0,426.0,,,right_only
732,,,,,,,,Nabors B18,,,,,,,,,,,,Bakken,"IRON OIL OPERATING, LLC",ND,MCKENZIE,12/20/2021,H,ANTELOPE 5-17-20H,OIL & GAS,SATHER LAKE,BAKKEN,"21,493 ft",2021-12-04,33-053-09747,47.731661 / -103.6416876,1500,2021-10-18,33.0,53.0,464.0,,,right_only
733,,,,,,,,True 39,,,,,,,,,,,,Bakken,TRUE OIL LLC,ND,MCKENZIE,12/20/2021,H,RED WING CREEK UNIT 32-27A,OIL & GAS,RED WING CREEK,MADISON,"9,996 ft",2021-12-04,33-053-09772,47.6131926 / -103.5332719, ,2021-09-22,33.0,53.0,468.0,,,right_only
734,,,,,,,,Patterson 273,,,,,,,,,,,,Eagleford,VERDUN OIL & GAS LLC,TX,MCMULLEN,12/20/2021,H,DOUGHBOYS 2H,OIL & GAS,EAGLEVILLE,EAGLE FORD-1,"12,000 ft",2021-12-10,42-311-37185,28.3604885 / -98.7765363,1500,2021-11-18,42.0,311.0,470.0,,,right_only
735,,,,,,,,Pioneer 80,,,,,,,,,,,,Permian - Midland,APACHE CORPORATION,TX,MIDLAND,12/20/2021,H,PARKS-COYOTE 1506 A 15HJ,OIL & GAS,SPRABERRY,TREND AREA,"12,000 ft",2021-12-11,42-329-45033,31.7813766 / -102.1697187,1500,2021-07-14,42.0,329.0,473.0,,,right_only
736,,,,,,,,Advanced Energy 37,,,,,,,,,,,,Permian - Midland,"CROWNQUEST OPERATING, LLC",TX,MIDLAND,12/20/2021,H,MENDELEEV I 104LS,OIL & GAS,SPRABERRY,TREND AREA,"8,490 ft",2021-12-12,42-329-45281,31.859478 / -101.7728271,500, ,42.0,329.0,478.0,,,right_only
737,,,,,,,,Patterson 252,,,,,,,,,,,,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,12/20/2021,H,SHULL-CRAWFORD 15B 2H,OIL & GAS,SPRABERRY,TREND AREA,"10,585 ft",2021-12-08,42-329-44936,31.9473946 / -102.0263921,1500,2021-06-29,42.0,329.0,499.0,,,right_only
738,,,,,,,,Patterson 589,,,,,,,,,,,,Anadarko,MEWBOURNE OIL COMPANY,TX,OCHILTREE,12/20/2021,H,FARNSWORTH 4/32 A M001BO,OIL & GAS,ALLEN-PARKER,MARMATON,"7,079 ft",2021-12-04,42-357-33730,36.2618348 / -100.9693858,1500,2021-09-28,42.0,357.0,526.0,,,right_only
739,,,,,,,,Ada Energy 5,,,,,,,,,,,,Arkoma,CITATION OIL & GAS CORPORATION,OK,PONTOTOC,12/20/2021,D,EAST FITTS UNIT 9-87,OIL & GAS, ,"BROMIDE, HUNTON, VIOLA", ,2021-12-07,35-123-23895,34.6125133 / -96.5595863,600,2021-07-22,35.0,123.0,542.0,,,right_only
740,,,,,,,,Dan D 2,,,,,,,,,,,,Arkoma,HILL OIL COMPANY INC,OK,POTTAWATOMIE,12/20/2021,V,HARRISON 1,OIL & GAS, ,"CALVIN, EARLSBORO, LAYTON, MISENER, SENORA, SIMPSON DOLOMITE, VIOLA, WEWOKA, WILCOX, WOODFORD","4,300 ft",2021-12-11,35-125-23959,34.9911653 / -96.8155574,500,2021-11-29,35.0,125.0,543.0,,,right_only
741,,,,,,,,Charger 201,,,,,,,,,,,,Permian - Delaware,DIAMONDBACK E&P LLC,TX,REEVES,12/20/2021,H,WATCHMAN 30-26 A 1BS,OIL,HOEFS T-K,WOLFCAMP,"9,580 ft",2021-12-09,42-389-39615,31.1980066 / -103.185093,760,2021-09-13,42.0,389.0,568.0,,,right_only
742,,,,,,,,White Knight 1,,,,,,,,,,,,DJ Basin,DAVIDSON OIL & GAS LLC,KS,ROOKS,12/20/2021,V,CHESNEY 1,OIL, ,ARBUCKLE,"3,500 ft",2021-12-14,15-163-24432,39.3456905 / -99.1721857,500,2021-07-26,15.0,163.0,585.0,,,right_only
743,,,,,,,,Justiss 60,,,,,,,,,,,,Tuscaloosa,"EXCALIBUR OPERATING, LLC",LA,ST. MARTIN,12/20/2021,D,SMEDES BROS 024,OIL,ST MARTINVILLE,SIPH,"9,200 ft",2021-12-03,17-099-21630,30.1134941 / -91.8556088,700,2021-11-04,17.0,99.0,607.0,,,right_only
744,,,,,,,,Price 3,,,,,,,,,,,,Gulf Coast,MORTIMER PRODUCTION COMPANY,TX,STARR,12/20/2021,V,GUTIERREZ 1A,OIL & GAS,PEDERNAL,"CROCKETT, QUEEN CITY","4,800 ft",2021-12-03,42-427-34795,26.6581507 / -98.9850102,400,2021-09-15,42.0,427.0,609.0,,,right_only
745,,,,,,,,Precision 464,,,,,,,,,,,,DJ Basin,VERDAD RESOURCES LLC,CO,WELD,12/20/2021,H,COUNTY LINE 3107-05H,OIL,WATTENBERG,CODELL,"17,671 ft",2021-12-13,05-123-51166,40.0014997 / -104.704535, ,2020-08-19,5.0,123.0,688.0,,,right_only
746,,,,,,,,Nicklos 1,,,,,,,,,,,,Haynesville,"STRAND ENERGY, L.C.",TX,WOOD,12/20/2021,V,RAY 1,OIL & GAS,WILDCAT, ,"9,900 ft",2021-11-19,42-499-32195,32.6058512 / -95.3124867,750,2021-10-21,42.0,499.0,712.0,,,right_only
