,Basin_x,Operator_x,State_x,County_x,report_date_x,drill_type_x,well_x,rig,well_type_x,field_x,formation_x,permit_depth_x,spud_date_x,API_UWI_x,lat_long_x,rated_hp_x,permit_approval_date_x,state_id_x,county_id_x,Basin_y,Operator_y,State_y,County_y,report_date_y,drill_type_y,well_y,well_type_y,field_y,formation_y,permit_depth_y,spud_date_y,API_UWI_y,lat_long_y,rated_hp_y,permit_approval_date_y,state_id_y,county_id_y,Unnamed: 0,Unnamed: 0.1,_merge
734,,,,,,,,RAPAD 33,,,,,,,,,,,,Mississippi,"ALPINE GAS OPERATOR, LLC",MS,JONES,12/14/2021,V,RAMBLING ROGUES 1,OIL,COLLINS N. E.,UPPER COTTON VALLEY OIL POOL,"18,900 ft",2021-11-10,23-067-20742,31.6410931 / -89.3980295,1500,2021-10-19,23.0,67.0,293.0,,right_only
735,,,,,,,,Scan Star,,,,,,,,,,,,Permian - Delaware,"CHISHOLM ENERGY OPERATING, LLC",NM,LEA,12/14/2021,H,GRAMA RIDGE EAST 34 STATE 2BS 007H,OIL,GRAMA RIDGE,"BONE SPRING, NE","15,785 ft",2021-11-27,30-025-43822,32.4419123 / -103.4637047,1500,2017-05-23,30.0,25.0,344.0,,right_only
736,,,,,,,,Patterson 295,,,,,,,,,,,,Permian - Delaware,MATADOR PRODUCTION COMPANY,NM,LEA,12/14/2021,H,RODNEY ROBINSON FED COM 103H,OIL,PRONGHORN,BONE SPRING,"19,716 ft",2021-11-23,30-025-47088,32.3131995 / -103.6084235,1500,2020-04-16,30.0,25.0,370.0,,right_only
737,,,,,,,,Patterson 588,,,,,,,,,,,,Permian - Delaware,MEWBOURNE OIL CO,NM,LEA,12/14/2021,H,CABRA NINO 14 11 B2MD STATE COM 002H,OIL,OJO CHISO,BONE SPRING,"20,304 ft",2021-11-26,30-025-49268,32.3851608 / -103.4451204,1500,2021-07-30,30.0,25.0,377.0,,right_only
738,,,,,,,,Citadel 2,,,,,,,,,,,,Permian - Delaware,OXY USA INCORPORATED,NM,LEA,12/14/2021,H,"TACO CAT ""27_34"" FEDERAL COM 35H",OIL,WC,UPPER WOLFCAMP,"22,754 ft",2021-11-26,30-025-46937,32.3691508 / -103.6582378, ,2020-03-05,30.0,25.0,378.0,,right_only
739,,,,,,,,H&P 616,,,,,,,,,,,,Permian - Delaware,"TITUS OIL & GAS PRODUCTION, LLC",NM,LEA,12/14/2021,H,LONESOME DOVE FED COM 434H,OIL,SOUTHWEST JABALINA,WOLFCAMP,"21,565 ft",2021-12-07,30-025-49526,29.7305917 / -95.2483321,1500,2021-11-04,30.0,25.0,387.0,,right_only
740,,,,,,,,Patterson 564,,,,,,,,,,,,Permian - Delaware,"WPX ENERGY PERMIAN, LLC",TX,LOVING,12/14/2021,H,CBR 8-5K-56-1 412H,OIL & GAS,PHANTOM,WOLFCAMP,"16,000 ft",2021-11-30,42-301-35534,31.9695308 / -103.8828987,1500,2021-07-01,42.0,301.0,415.0,,right_only
741,,,,,,,,Pinnergy 3,,,,,,,,,,,,Permian - Midland,"PIONEER NATURAL RES. USA, INC.",TX,MIDLAND,12/14/2021,H,HARRIS 17-20D 4H,OIL & GAS,SPRABERRY,TREND AREA,"10,589 ft",2021-12-09,42-329-45228,31.6557019 / -101.8019012,760,2021-11-08,42.0,329.0,488.0,,right_only
742,,,,,,,,United 32,,,,,,,,,,,,Permian - Delaware,"P.O.&G. OPERATING, LLC",TX,PECOS,12/14/2021,V,PECOS VALLEY /5400 DEV./ UNIT 1005,OIL & GAS,PECOS VALLEY,DEVONIAN,"5,800 ft",2021-11-22,42-371-40324,31.2230681 / -102.7682242,550,2021-07-14,42.0,371.0,528.0,,right_only
743,,,,,,,,Big E 1,,,,,,,,,,,,Austin Chalk,WALTER OIL & GAS CORPORATION,TX,POLK,12/14/2021,H,BSM A-471 1H,OIL & GAS,BROOKELAND,AUSTIN CHALK,"15,000 ft",2021-10-29,42-373-31356,30.85465 / -94.6556146,1500,2021-10-01,42.0,373.0,534.0,,right_only
744,,,,,,,,George Mitchell 1,,,,,,,,,,,,,"CAMPBELL ENERGY, LLC",,POSEY,12/14/2021,,RIBEYRE 82,UNKNOWN, , , ,2021-12-02, ,38.1060562 / -87.9670334,475, ,0.0,0.0,536.0,,right_only
745,,,,,,,,Ensign 786,,,,,,,,,,,,Permian - Midland,"HIBERNIA RESOURCES III, LLC",TX,REAGAN,12/14/2021,H,MARY ROSE D 4H,OIL & GAS,SPRABERRY,TREND AREA,"10,500 ft",2021-12-13,42-383-40857,31.3447774 / -101.7735028,1500,2020-01-28,42.0,383.0,543.0,,right_only
746,,,,,,,,Sewell 2,,,,,,,,,,,,Haynesville,QUANICO OIL & GAS INC,AR,UNION,12/14/2021,V,ANDRESS 1,UNKNOWN,LISBON,SMACKOVERLIME,"6,900 ft",2021-12-02,03-139-13615,33.245849 / -92.7596823,900,2021-11-08,3.0,139.0,626.0,,right_only
747,,,,,,,,H&P 526,,,,,,,,,,,,Eagleford,"RIO GRANDE E&P, LLC",TX,WEBB,12/14/2021,H,STATE OF TEXAS RAFTER O UNIT A 1H,GAS,HAWKVILLE,EAGLEFORD SHALE,"14,000 ft",2021-12-07,42-479-44499,27.8560066 / -99.485321,1500,2021-10-06,42.0,479.0,668.0,,right_only
748,,,,,,,,Nabors X37,,,,,,,,,,,,Eagleford,SILVER HILL ENERGY OPERATING LLC,TX,WEBB,12/14/2021,H,STATE MARY 4H,GAS,HAWKVILLE,EAGLEFORD SHALE,"12,500 ft",2021-11-20,42-479-44507,27.9077707 / -99.3568479,1500,2021-10-13,42.0,479.0,669.0,,right_only
749,,,,,,,,Norton 4,,,,,,,,,,,,Permian - Midland,"BURK ROYALTY CO., LTD.",TX,YOAKUM,12/14/2021,H,BILLINGS 1H,OIL,PLATANG,SAN ANDRES,"6,000 ft",2021-11-30,42-501-37237,33.0407653 / -102.8880387,650,2019-11-20,42.0,501.0,701.0,,right_only
750,,,,,,,,Norton 6,,,,,,,,,,,,Permian - Midland,E R OPERATING COMPANY,TX,YOAKUM,12/14/2021,H,RR-BRENNAND POOLED UNIT 2482H,OIL,PLATANG,SAN ANDRES,"5,400 ft",2021-11-27,42-501-37354,33.2895446 / -102.8776243,650,2021-11-17,42.0,501.0,702.0,,right_only
